,biocyc_id,regulator,regulator_biocyc_id,regulator_bigg_id,regulator_type,enzyme,reaction,mechanism,regulation_mode,ki,ki_unit
ECOLI:REG0-6744,ECOLI:REG0-6744,K+,ECOLI:K+,NA,compound,CITRATE-SI-SYNTHASE,CITSYN-RXN,OTHER,+,NA,NA
ECOLI:REG0-6743,ECOLI:REG0-6743,ACETYL-COA,ECOLI:ACETYL-COA,accoa,compound,CITRATE-SI-SYNTHASE,CITSYN-RXN,ALLOSTERIC,+,NA,NA
ECOLI:REG0-6742,ECOLI:REG0-6742,PROPIONYL-COA,ECOLI:PROPIONYL-COA,NA,compound,CITRATE-SI-SYNTHASE,CITSYN-RXN,NA,-,NA,NA
ECOLI:REG0-6741,ECOLI:REG0-6741,CPD0-1673,ECOLI:CPD0-1673,NA,compound,CITRATE-SI-SYNTHASE,CITSYN-RXN,NA,-,NA,NA
ECOLI:REG0-6738,ECOLI:REG0-6738,NADH,ECOLI:NADH,nadh,compound,CITRATE-SI-SYNTHASE,CITSYN-RXN,ALLOSTERIC,-,NA,NA
ECOLI:REG0-10237,ECOLI:REG0-10237,PHOSPHO-ENOL-PYRUVATE,ECOLI:PHOSPHO-ENOL-PYRUVATE,pep,compound,ISOCITHASE-CPLX,ISOCITDEH-RXN,ALLOSTERIC,-,NA,NA
ECOLI:REG0-10049,ECOLI:REG0-10049,CPD-628,ECOLI:CPD-628,NA,compound,ISOCITHASE-CPLX,ISOCITDEH-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-6924,ECOLI:REG0-6924,PHENYLGLYOXAL,ECOLI:PHENYLGLYOXAL,NA,compound,ISOCITHASE-CPLX,ISOCITDEH-RXN,NA,-,NA,NA
ECOLI:REG0-6923,ECOLI:REG0-6923,GLYOX,ECOLI:GLYOX,glx,compound,ISOCITHASE-CPLX,ISOCITDEH-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-6922,ECOLI:REG0-6922,OXALACETIC_ACID,ECOLI:OXALACETIC_ACID,oaa,compound,ISOCITHASE-CPLX,ISOCITDEH-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-13116,ECOLI:REG0-13116,ACETALD,ECOLI:ACETALD,acald,compound,MHPF-MONOMER,ACETALD-DEHYDROG-RXN,COMPETITIVE,-,265000.0,&micro;mole
ECOLI:REG0-11315,ECOLI:REG0-11315,CPD-400,ECOLI:CPD-400,NA,compound,ADHE-CPLX,ACETALD-DEHYDROG-RXN,NA,-,NA,NA
ECOLI:REG0-9820,ECOLI:REG0-9820,Thiols,ECOLI:Thiols,NA,compound,ADHE-CPLX,ACETALD-DEHYDROG-RXN,NA,+,NA,NA
ECOLI:REG0-9819,ECOLI:REG0-9819,CPD0-1364,ECOLI:CPD0-1364,NA,compound,ADHE-CPLX,ACETALD-DEHYDROG-RXN,NA,+,NA,NA
ECOLI:REG0-8151,ECOLI:REG0-8151,NAD,ECOLI:NAD,nad,compound,ADHE-CPLX,ACETALD-DEHYDROG-RXN,NA,+,NA,NA
ECOLI:REG0-8148,ECOLI:REG0-8148,AMP,ECOLI:AMP,NA,compound,ADHE-CPLX,ACETALD-DEHYDROG-RXN,NA,-,NA,NA
ECOLI:REG0-8147,ECOLI:REG0-8147,ADENOSINE_DIPHOSPHATE_RIBOSE,ECOLI:ADENOSINE_DIPHOSPHATE_RIBOSE,NA,compound,ADHE-CPLX,ACETALD-DEHYDROG-RXN,NA,-,NA,NA
ECOLI:REG0-8146,ECOLI:REG0-8146,BENZALDEHYDE,ECOLI:BENZALDEHYDE,NA,compound,ADHE-CPLX,ACETALD-DEHYDROG-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-8145,ECOLI:REG0-8145,AMP,ECOLI:AMP,NA,compound,ADHE-CPLX,ACETALD-DEHYDROG-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-11231,ECOLI:REG0-11231,F-,ECOLI:F-,NA,compound,CPLX0-243,INORGPYROPHOSPHAT-RXN,NA,-,NA,NA
ECOLI:REG0-6913,ECOLI:REG0-6913,CA+2,ECOLI:CA+2,NA,compound,CPLX0-243,INORGPYROPHOSPHAT-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-11593,ECOLI:REG0-11593,CA+2,ECOLI:CA+2,NA,compound,PEPCARBOXYKIN-MONOMER,PEPCARBOXYKIN-RXN,NA,+,NA,NA
ECOLI:REG0-7200,ECOLI:REG0-7200,ATP,ECOLI:ATP,atp,compound,PEPCARBOXYKIN-MONOMER,PEPCARBOXYKIN-RXN,NA,-,NA,NA
ECOLI:REG0-7199,ECOLI:REG0-7199,PHOSPHO-ENOL-PYRUVATE,ECOLI:PHOSPHO-ENOL-PYRUVATE,pep,compound,PEPCARBOXYKIN-MONOMER,PEPCARBOXYKIN-RXN,NA,-,NA,NA
ECOLI:REG0-15838,ECOLI:REG0-15838,L-ASPARTATE,ECOLI:L-ASPARTATE,asp__L,compound,MALIC-NAD-CPLX,1.1.1.39-RXN,NA,+,NA,NA
ECOLI:REG0-7675,ECOLI:REG0-7675,OXALACETIC_ACID,ECOLI:OXALACETIC_ACID,oaa,compound,MALIC-NAD-CPLX,1.1.1.39-RXN,NA,-,NA,NA
ECOLI:REG0-7674,ECOLI:REG0-7674,ATP,ECOLI:ATP,atp,compound,MALIC-NAD-CPLX,1.1.1.39-RXN,NA,-,NA,NA
ECOLI:REG0-7671,ECOLI:REG0-7671,ACETYL-COA,ECOLI:ACETYL-COA,accoa,compound,MALIC-NAD-CPLX,1.1.1.39-RXN,ALLOSTERIC,-,NA,NA
ECOLI:REG0-7670,ECOLI:REG0-7670,CO-A,ECOLI:CO-A,NA,compound,MALIC-NAD-CPLX,1.1.1.39-RXN,ALLOSTERIC,-,NA,NA
ECOLI:REG0-9753,ECOLI:REG0-9753,CPD0-1316,ECOLI:CPD0-1316,NA,compound,CPLX0-7466,XYLULOKIN-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-7093,ECOLI:REG0-7093,CPD0-1054,ECOLI:CPD0-1054,NA,compound,CPLX0-7466,XYLULOKIN-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-9220,ECOLI:REG0-9220,Pi,ECOLI:Pi,NA,compound,CPLX0-7647,RIBOKIN-RXN,NA,+,NA,NA
ECOLI:REG0-12509,ECOLI:REG0-12509,CRR-MONOMER,ECOLI:CRR-MONOMER,NA,protein,GLYCEROL-KIN-CPLX,GLYCEROL-KIN-RXN,UNCOMPETITIVE,-,NA,NA
ECOLI:REG0-11842,ECOLI:REG0-11842,FRUCTOSE-16-DIPHOSPHATE,ECOLI:FRUCTOSE-16-DIPHOSPHATE,fdp,compound,GLYCEROL-KIN-CPLX,GLYCEROL-KIN-RXN,NONCOMPETITIVE,-,500.0,&micro;mole
ECOLI:REG0-10009,ECOLI:REG0-10009,CPD0-1461,ECOLI:CPD0-1461,NA,compound,GLYCEROL-KIN-CPLX,GLYCEROL-KIN-RXN,NA,-,NA,NA
ECOLI:REG0-7102,ECOLI:REG0-7102,ATP,ECOLI:ATP,atp,compound,GLYCEROL-KIN-CPLX,GLYCEROL-KIN-RXN,NA,+,NA,NA
ECOLI:REG0-7100,ECOLI:REG0-7100,CPD0-1054,ECOLI:CPD0-1054,NA,compound,GLYCEROL-KIN-CPLX,GLYCEROL-KIN-RXN,NA,-,NA,NA
ECOLI:REG0-7097,ECOLI:REG0-7097,CPD0-1054,ECOLI:CPD0-1054,NA,compound,GLYCEROL-KIN-CPLX,GLYCEROL-KIN-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-7096,ECOLI:REG0-7096,GLYCEROL-3P,ECOLI:GLYCEROL-3P,glyc3p,compound,GLYCEROL-KIN-CPLX,GLYCEROL-KIN-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-7095,ECOLI:REG0-7095,ADP,ECOLI:ADP,adp,compound,GLYCEROL-KIN-CPLX,GLYCEROL-KIN-RXN,COMPETITIVE,-,500.0,&micro;mole
ECOLI:REG0-10619,ECOLI:REG0-10619,CPD0-1614,ECOLI:CPD0-1614,NA,compound,ASPAMINOTRANS-DIMER,ASPAMINOTRANS-RXN,ALLOSTERIC,-,NA,NA
ECOLI:REG0-10570,ECOLI:REG0-10570,CPD-12132,ECOLI:CPD-12132,NA,compound,ASPAMINOTRANS-DIMER,ASPAMINOTRANS-RXN,NA,-,NA,NA
ECOLI:REG0-8009,ECOLI:REG0-8009,MALEATE,ECOLI:MALEATE,NA,compound,ASPAMINOTRANS-DIMER,ASPAMINOTRANS-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-12216,ECOLI:REG0-12216,DITHIOTHREITOL,ECOLI:DITHIOTHREITOL,NA,compound,CPLX0-7776,F16BDEPHOS-RXN,NA,+,NA,NA
ECOLI:REG0-12215,ECOLI:REG0-12215,ATP,ECOLI:ATP,atp,compound,CPLX0-7776,F16BDEPHOS-RXN,NA,-,NA,NA
ECOLI:REG0-10229,ECOLI:REG0-10229,KCL,ECOLI:KCL,NA,compound,CPLX0-7776,F16BDEPHOS-RXN,NA,-,NA,NA
ECOLI:REG0-10228,ECOLI:REG0-10228,LI+,ECOLI:LI+,NA,compound,CPLX0-7776,F16BDEPHOS-RXN,NA,-,NA,NA
ECOLI:REG0-10227,ECOLI:REG0-10227,Pi,ECOLI:Pi,NA,compound,CPLX0-7776,F16BDEPHOS-RXN,NA,-,NA,NA
ECOLI:REG0-10226,ECOLI:REG0-10226,Pi,ECOLI:Pi,NA,compound,CPLX0-303,F16BDEPHOS-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-10225,ECOLI:REG0-10225,LI+,ECOLI:LI+,NA,compound,CPLX0-303,F16BDEPHOS-RXN,NA,-,NA,NA
ECOLI:REG0-6847,ECOLI:REG0-6847,PHOSPHO-ENOL-PYRUVATE,ECOLI:PHOSPHO-ENOL-PYRUVATE,pep,compound,CPLX0-303,F16BDEPHOS-RXN,NA,+,NA,NA
ECOLI:REG0-6846,ECOLI:REG0-6846,ADP,ECOLI:ADP,adp,compound,CPLX0-303,F16BDEPHOS-RXN,NA,-,NA,NA
ECOLI:REG0-12210,ECOLI:REG0-12210,CIT,ECOLI:CIT,cit,compound,F16B-CPLX,F16BDEPHOS-RXN,NA,+,NA,NA
ECOLI:REG0-12209,ECOLI:REG0-12209,GLC-6-P,ECOLI:GLC-6-P,NA,compound,F16B-CPLX,F16BDEPHOS-RXN,NA,-,NA,NA
ECOLI:REG0-8815,ECOLI:REG0-8815,SULFATE,ECOLI:SULFATE,NA,compound,F16B-CPLX,F16BDEPHOS-RXN,NA,+,NA,NA
ECOLI:REG0-8814,ECOLI:REG0-8814,PHOSPHO-ENOL-PYRUVATE,ECOLI:PHOSPHO-ENOL-PYRUVATE,pep,compound,F16B-CPLX,F16BDEPHOS-RXN,NA,+,NA,NA
ECOLI:REG0-8813,ECOLI:REG0-8813,PHOSPHO-ENOL-PYRUVATE,ECOLI:PHOSPHO-ENOL-PYRUVATE,pep,compound,F16B-CPLX,F16BDEPHOS-RXN,NA,-,NA,NA
ECOLI:REG0-8812,ECOLI:REG0-8812,AMP,ECOLI:AMP,NA,compound,F16B-CPLX,F16BDEPHOS-RXN,NONCOMPETITIVE,-,NA,NA
ECOLI:REG0-8811,ECOLI:REG0-8811,CPD-535,ECOLI:CPD-535,NA,compound,F16B-CPLX,F16BDEPHOS-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-12956,ECOLI:REG0-12956,PTSH-MONOMER,ECOLI:PTSH-MONOMER,NA,protein,PKI-COMPLEX,PEPDEPHOS-RXN,ALLOSTERIC,+,NA,NA
ECOLI:REG0-12161,ECOLI:REG0-12161,GTP,ECOLI:GTP,gtp,compound,PKI-COMPLEX,PEPDEPHOS-RXN,NA,-,NA,NA
ECOLI:REG0-8168,ECOLI:REG0-8168,CA+2,ECOLI:CA+2,NA,compound,PKI-COMPLEX,PEPDEPHOS-RXN,NA,+,NA,NA
ECOLI:REG0-8167,ECOLI:REG0-8167,FRUCTOSE-16-DIPHOSPHATE,ECOLI:FRUCTOSE-16-DIPHOSPHATE,fdp,compound,PKI-COMPLEX,PEPDEPHOS-RXN,ALLOSTERIC,+,NA,NA
ECOLI:REG0-8166,ECOLI:REG0-8166,ATP,ECOLI:ATP,atp,compound,PKI-COMPLEX,PEPDEPHOS-RXN,NA,-,NA,NA
ECOLI:REG0-8165,ECOLI:REG0-8165,SUC-COA,ECOLI:SUC-COA,succoa,compound,PKI-COMPLEX,PEPDEPHOS-RXN,NA,-,NA,NA
ECOLI:REG0-8164,ECOLI:REG0-8164,CA+2,ECOLI:CA+2,NA,compound,PKI-COMPLEX,PEPDEPHOS-RXN,NA,-,NA,NA
ECOLI:REG0-11974,ECOLI:REG0-11974,Glucose-6-phosphate,ECOLI:Glucose-6-phosphate,NA,compound,PKII-CPLX,PEPDEPHOS-RXN,NA,+,NA,NA
ECOLI:REG0-11973,ECOLI:REG0-11973,RIBOSE-5P,ECOLI:RIBOSE-5P,NA,compound,PKII-CPLX,PEPDEPHOS-RXN,NA,+,NA,NA
ECOLI:REG0-11972,ECOLI:REG0-11972,Pi,ECOLI:Pi,NA,compound,PKII-CPLX,PEPDEPHOS-RXN,NONCOMPETITIVE,-,NA,NA
ECOLI:REG0-8715,ECOLI:REG0-8715,AMP,ECOLI:AMP,NA,compound,PKII-CPLX,PEPDEPHOS-RXN,ALLOSTERIC,+,NA,NA
ECOLI:REG0-9022,ECOLI:REG0-9022,PHMB,ECOLI:PHMB,NA,compound,GLUTATHIONE-REDUCT-NADPH-CPLX,GLUTATHIONE-REDUCT-NADPH-RXN,NA,-,NA,NA
ECOLI:REG0-9021,ECOLI:REG0-9021,NADPH,ECOLI:NADPH,nadph,compound,GLUTATHIONE-REDUCT-NADPH-CPLX,GLUTATHIONE-REDUCT-NADPH-RXN,NA,-,NA,NA
ECOLI:REG0-9020,ECOLI:REG0-9020,OXIDIZED-GLUTATHIONE,ECOLI:OXIDIZED-GLUTATHIONE,gthox,compound,GLUTATHIONE-REDUCT-NADPH-CPLX,GLUTATHIONE-REDUCT-NADPH-RXN,NA,-,NA,NA
ECOLI:REG0-12846,ECOLI:REG0-12846,CU+,ECOLI:CU+,NA,compound,3-ISOPROPYLMALISOM-CPLX,RXN-13163,NA,-,NA,NA
ECOLI:REG0-8223,ECOLI:REG0-8223,LEU,ECOLI:LEU,leu__L,compound,ACETOLACTSYNII-CPLX,ACETOOHBUTSYN-RXN,NA,-,NA,NA
ECOLI:REG0-8222,ECOLI:REG0-8222,VAL,ECOLI:VAL,val__L,compound,ACETOLACTSYNII-CPLX,ACETOOHBUTSYN-RXN,NA,-,NA,NA
ECOLI:REG0-9126,ECOLI:REG0-9126,VAL,ECOLI:VAL,val__L,compound,ACETOLACTSYNI-CPLX,ACETOOHBUTSYN-RXN,NA,-,NA,NA
ECOLI:REG0-8173,ECOLI:REG0-8173,VAL,ECOLI:VAL,val__L,compound,ACETOLACTSYNIII-CPLX,ACETOOHBUTSYN-RXN,NA,-,NA,NA
ECOLI:REG0-8172,ECOLI:REG0-8172,LEU,ECOLI:LEU,leu__L,compound,ACETOLACTSYNIII-CPLX,ACETOOHBUTSYN-RXN,NA,-,NA,NA
ECOLI:REG0-9609,ECOLI:REG0-9609,NaF,ECOLI:NaF,NA,compound,DIHYDROXYACIDDEHYDRAT-CPLX,DIHYDROXYMETVALDEHYDRAT-RXN,NA,-,NA,NA
ECOLI:REG0-9218,ECOLI:REG0-9218,CPD-29,ECOLI:CPD-29,NA,compound,DIHYDROXYACIDDEHYDRAT-CPLX,DIHYDROXYMETVALDEHYDRAT-RXN,NA,-,NA,NA
ECOLI:REG0-7110,ECOLI:REG0-7110,CPD0-1692,ECOLI:CPD0-1692,NA,compound,ACETOLACTSYNIII-CPLX,ACETOLACTSYN-RXN,NA,-,NA,NA
ECOLI:REG0-7109,ECOLI:REG0-7109,ILE,ECOLI:ILE,ile__L,compound,ACETOLACTSYNIII-CPLX,ACETOLACTSYN-RXN,NA,-,NA,NA
ECOLI:REG0-7108,ECOLI:REG0-7108,VAL,ECOLI:VAL,val__L,compound,ACETOLACTSYNIII-CPLX,ACETOLACTSYN-RXN,NA,-,NA,NA
ECOLI:REG0-7107,ECOLI:REG0-7107,LEU,ECOLI:LEU,leu__L,compound,ACETOLACTSYNIII-CPLX,ACETOLACTSYN-RXN,NA,-,NA,NA
ECOLI:REG0-8908,ECOLI:REG0-8908,GLYOX,ECOLI:GLYOX,glx,compound,ACETOLACTSYNII-CPLX,ACETOLACTSYN-RXN,NA,-,NA,NA
ECOLI:REG0-8907,ECOLI:REG0-8907,CPD0-1692,ECOLI:CPD0-1692,NA,compound,ACETOLACTSYNII-CPLX,ACETOLACTSYN-RXN,NA,-,NA,NA
ECOLI:REG0-12367,ECOLI:REG0-12367,VAL,ECOLI:VAL,val__L,compound,ACETOLACTSYNI-CPLX,ACETOLACTSYN-RXN,NA,-,NA,NA
ECOLI:REG0-8655,ECOLI:REG0-8655,2-OXOBUTANOATE,ECOLI:2-OXOBUTANOATE,2obut,compound,ACETOLACTSYNI-CPLX,ACETOLACTSYN-RXN,NA,-,NA,NA
ECOLI:REG0-8654,ECOLI:REG0-8654,LEU,ECOLI:LEU,leu__L,compound,ACETOLACTSYNI-CPLX,ACETOLACTSYN-RXN,NA,-,NA,NA
ECOLI:REG0-11787,ECOLI:REG0-11787,PYRUVATE,ECOLI:PYRUVATE,pyr,compound,AROA-MONOMER,2.5.1.19-RXN,NA,-,NA,NA
ECOLI:REG0-11786,ECOLI:REG0-11786,PHOSPHO-ENOL-PYRUVATE,ECOLI:PHOSPHO-ENOL-PYRUVATE,pep,compound,AROA-MONOMER,2.5.1.19-RXN,NA,+,NA,NA
ECOLI:REG0-9743,ECOLI:REG0-9743,CPD0-1308,ECOLI:CPD0-1308,NA,compound,AROA-MONOMER,2.5.1.19-RXN,COMPETITIVE,-,1.0,&micro;mole
ECOLI:REG0-7854,ECOLI:REG0-7854,3-ENOLPYRUVYL-SHIKIMATE-5P,ECOLI:3-ENOLPYRUVYL-SHIKIMATE-5P,3psme,compound,AROA-MONOMER,2.5.1.19-RXN,NA,-,NA,NA
ECOLI:REG0-7853,ECOLI:REG0-7853,PYRIDOXAL_PHOSPHATE,ECOLI:PYRIDOXAL_PHOSPHATE,NA,compound,AROA-MONOMER,2.5.1.19-RXN,NA,-,NA,NA
ECOLI:REG0-7852,ECOLI:REG0-7852,3-BROMOPYRUVATE,ECOLI:3-BROMOPYRUVATE,NA,compound,AROA-MONOMER,2.5.1.19-RXN,NA,-,NA,NA
ECOLI:REG0-11286,ECOLI:REG0-11286,CPD-13859,ECOLI:CPD-13859,NA,compound,PYRUVFORMLY-CPLX,PYRUVFORMLY-RXN,IRREVERSIBLE,-,NA,NA
ECOLI:REG0-11285,ECOLI:REG0-11285,CPD-27,ECOLI:CPD-27,NA,compound,PYRUVFORMLY-CPLX,PYRUVFORMLY-RXN,IRREVERSIBLE,-,NA,NA
ECOLI:REG0-11284,ECOLI:REG0-11284,OXYGEN-MOLECULE,ECOLI:OXYGEN-MOLECULE,o2,compound,PYRUVFORMLY-CPLX,PYRUVFORMLY-RXN,IRREVERSIBLE,-,NA,NA
ECOLI:REG0-10119,ECOLI:REG0-10119,CPD0-1544,ECOLI:CPD0-1544,NA,compound,ANTHRANSYN-CPLX,ANTHRANSYN-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-8691,ECOLI:REG0-8691,TRP,ECOLI:TRP,trp__L,compound,ANTHRANSYN-CPLX,ANTHRANSYN-RXN,NONCOMPETITIVE,-,NA,NA
ECOLI:REG0-8690,ECOLI:REG0-8690,TRP,ECOLI:TRP,trp__L,compound,ANTHRANSYN-CPLX,ANTHRANSYN-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-6654,ECOLI:REG0-6654,OXALACETIC_ACID,ECOLI:OXALACETIC_ACID,oaa,compound,FUMARATE-REDUCTASE,R601-RXN,NA,-,NA,NA
ECOLI:REG0-6653,ECOLI:REG0-6653,2-Alkyl-Dinitrophenol-Derivatives,ECOLI:2-Alkyl-Dinitrophenol-Derivatives,NA,compound,FUMARATE-REDUCTASE,R601-RXN,NONCOMPETITIVE,-,NA,NA
ECOLI:REG0-6652,ECOLI:REG0-6652,CPD-7975,ECOLI:CPD-7975,NA,compound,FUMARATE-REDUCTASE,R601-RXN,NONCOMPETITIVE,-,NA,NA
ECOLI:REG0-6651,ECOLI:REG0-6651,MALONATE,ECOLI:MALONATE,NA,compound,FUMARATE-REDUCTASE,R601-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-6650,ECOLI:REG0-6650,2-Alkyl-Dinitrophenol-Derivatives,ECOLI:2-Alkyl-Dinitrophenol-Derivatives,NA,compound,FUMARATE-REDUCTASE,R601-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-6649,ECOLI:REG0-6649,Ubiquinol-Analogues,ECOLI:Ubiquinol-Analogues,NA,compound,FUMARATE-REDUCTASE,R601-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-6648,ECOLI:REG0-6648,PENTACHLOROPHENOL,ECOLI:PENTACHLOROPHENOL,NA,compound,FUMARATE-REDUCTASE,R601-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-10598,ECOLI:REG0-10598,PREPHENATE,ECOLI:PREPHENATE,pphn,compound,CHORISMUTPREPHENDEHYDROG-CPLX,CHORISMATEMUT-RXN,NA,-,NA,NA
ECOLI:REG0-9438,ECOLI:REG0-9438,TYR,ECOLI:TYR,tyr__L,compound,CHORISMUTPREPHENDEHYDROG-CPLX,CHORISMATEMUT-RXN,NA,-,NA,NA
ECOLI:REG0-10600,ECOLI:REG0-10600,CPD-12153,ECOLI:CPD-12153,NA,compound,CHORISMUTPREPHENDEHYDRAT-CPLX,CHORISMATEMUT-RXN,NA,-,NA,NA
ECOLI:REG0-10103,ECOLI:REG0-10103,CPD-381,ECOLI:CPD-381,NA,compound,CHORISMUTPREPHENDEHYDRAT-CPLX,CHORISMATEMUT-RXN,NA,-,NA,NA
ECOLI:REG0-7955,ECOLI:REG0-7955,PHE,ECOLI:PHE,phe__L,compound,CHORISMUTPREPHENDEHYDRAT-CPLX,CHORISMATEMUT-RXN,ALLOSTERIC,-,NA,NA
ECOLI:REG0-7954,ECOLI:REG0-7954,CIT,ECOLI:CIT,cit,compound,CHORISMUTPREPHENDEHYDRAT-CPLX,CHORISMATEMUT-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-7953,ECOLI:REG0-7953,PREPHENATE,ECOLI:PREPHENATE,pphn,compound,CHORISMUTPREPHENDEHYDRAT-CPLX,CHORISMATEMUT-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-10864,ECOLI:REG0-10864,PYRUVATE,ECOLI:PYRUVATE,pyr,compound,CPLX0-7912,PHOSACETYLTRANS-RXN,NA,+,NA,NA
ECOLI:REG0-10867,ECOLI:REG0-10867,PHOSPHO-ENOL-PYRUVATE,ECOLI:PHOSPHO-ENOL-PYRUVATE,pep,compound,PHOSACETYLTRANS-CPLX,PHOSACETYLTRANS-RXN,NA,-,NA,NA
ECOLI:REG0-10866,ECOLI:REG0-10866,PYRUVATE,ECOLI:PYRUVATE,pyr,compound,PHOSACETYLTRANS-CPLX,PHOSACETYLTRANS-RXN,NA,-,NA,NA
ECOLI:REG0-10865,ECOLI:REG0-10865,PHOSPHO-ENOL-PYRUVATE,ECOLI:PHOSPHO-ENOL-PYRUVATE,pep,compound,PHOSACETYLTRANS-CPLX,PHOSACETYLTRANS-RXN,NA,+,NA,NA
ECOLI:REG0-8218,ECOLI:REG0-8218,PYRUVATE,ECOLI:PYRUVATE,pyr,compound,PHOSACETYLTRANS-CPLX,PHOSACETYLTRANS-RXN,NA,+,NA,NA
ECOLI:REG0-8212,ECOLI:REG0-8212,ATP,ECOLI:ATP,atp,compound,PHOSACETYLTRANS-CPLX,PHOSACETYLTRANS-RXN,NONCOMPETITIVE,-,NA,NA
ECOLI:REG0-8211,ECOLI:REG0-8211,ADP,ECOLI:ADP,adp,compound,PHOSACETYLTRANS-CPLX,PHOSACETYLTRANS-RXN,NONCOMPETITIVE,-,NA,NA
ECOLI:REG0-8210,ECOLI:REG0-8210,NADPH,ECOLI:NADPH,nadph,compound,PHOSACETYLTRANS-CPLX,PHOSACETYLTRANS-RXN,NONCOMPETITIVE,-,NA,NA
ECOLI:REG0-8209,ECOLI:REG0-8209,NADH,ECOLI:NADH,nadh,compound,PHOSACETYLTRANS-CPLX,PHOSACETYLTRANS-RXN,NONCOMPETITIVE,-,NA,NA
ECOLI:REG0-6735,ECOLI:REG0-6735,6R-6-FLUORO-EPSP,ECOLI:6R-6-FLUORO-EPSP,NA,compound,AROC-CPLX,CHORISMATE-SYNTHASE-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-6734,ECOLI:REG0-6734,6S-6-FLUORO-EPSP,ECOLI:6S-6-FLUORO-EPSP,NA,compound,AROC-CPLX,CHORISMATE-SYNTHASE-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-10041,ECOLI:REG0-10041,CPD0-1490,ECOLI:CPD0-1490,NA,compound,PRAI-IGPS,IGPSYN-RXN,NA,-,NA,NA
ECOLI:REG0-10040,ECOLI:REG0-10040,CPD0-1489,ECOLI:CPD0-1489,NA,compound,PRAI-IGPS,IGPSYN-RXN,NA,-,NA,NA
