reaction_id,flux,enzyme,enzyme_abundance_g_gDW,saturation,yield,saturable_reaction_proteome_fraction,substrate_concentration_mM
VALTA,-0.09406557555194807,BRANCHED-CHAINAMINOTRANSFER-CPLX,6.123547064817787e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EAR120y,0.019204568550491186,CPLX0-8006,4.0859981584065334e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
BPNT,0.02298001256541602,EG10043-MONOMER,2.5138241744004838e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
SUCCt2_2pp,0.0,DCTA-MONOMER,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
CHORM,0.030207384582993987,CHORISMUTPREPHENDEHYDROG-CPLX,4.319282957783536e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
NDPK1,0.07107490686824292,NUCLEOSIDE-DIP-KIN-CPLX,2.3488183115211677e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
DHDPRy,0.034674354590055835,DIHYDROPICRED-CPLX,6.784836753249742e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
G6PDH2r,0.16182979472223089,GLU6PDEHYDROG-MONOMER,3.788106437382038e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ETOHtex,0.0,CPLX0-7533,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
RNDR1,0.002445859571540565,RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,1.4975264490671989e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EAR100y,0.019204568550491186,CPLX0-8006,4.0859971391827256e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
GHMT2r,0.10414065497023639,GLYOHMETRANS-CPLX,0.0009609394295086235,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
G5SD,0.020663054635286237,GLUTSEMIALDEHYDROG-CPLX,5.251437005203301e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
AICART,0.050620300862649244,AICARTRANSIMPCYCLO-CPLX,9.314667713930821e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
FRUtex,0.0,CPLX0-7533,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
3OAR60,0.033265784006720804,CPLX0-8005,2.6286103032742062e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
CTPS2,0.01500502972259991,CTPSYN-CPLX,6.096851184257769e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
3OAS121,0.014061215456229617,FABB-CPLX,0.00011567229828128734,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
DHORTS,-0.03092097060948411,DIHYDROOROT-CPLX,0.0001781591822828508,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
FBA,1.201371456486741,FRUCBISALD-CLASSII,0.0009421798855603615,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
HSDy,0.06523619531824901,ASPKINIHOMOSERDEHYDROGI-CPLX,0.0004682302599895945,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EAR160y,0.011929991798386426,CPLX0-8006,3.450190256899668e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
G3PT,0.0,G7187-MONOMER,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ADSL2r,0.04176469266542345,CPLX0-7959,5.6576393699883257e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ATPPRT,0.008855608197225792,CPLX0-7614,9.259394854536698e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ETOHtrpp,0.0,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EAR40x,0.033265784006720804,CPLX0-8006,4.494647760071427e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ACALDtpp,0.0,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
PGM,-2.2292470055926055,PHOSGLYCMUTASE,0.0004240986052462193,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EX_h2o_e,6.652125652163044,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
RNDR2,0.002525406559822344,RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,1.7537727635672227e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
3OAS60,0.033265784006720804,FABB-CPLX,0.00015900568753187457,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
DUTPDP,0.002445859571540565,DUTP-PYROP-CPLX,6.178487521204786e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
GLYCK2,0.0,GLY3KIN-MONOMER,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
PRPPS,0.08706759050175383,CPLX0-8299,0.00032600660446919594,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
3HAD140,0.011929991798386426,FABA-CPLX,1.3871442306422914e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
GLCtex_copy1,1.3365127225294648,CPLX0-7533,0.0004140921630631822,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
PRATPP,0.008855608197225792,HISTCYCLOPRATPPHOS,1.5611517257601748e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
NDPK8,0.002445859571540565,NUCLEOSIDE-DIP-KIN-CPLX,6.0259352052807346e-06,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
MTHFD,0.0923849935280727,FOLD-CPLX,3.3759769174961543e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ICDHyr,1.3094331218512816,ISOCITHASE-CPLX,0.0046522445617762824,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
CYSTL,0.014365756099968787,CYSTATHIONINE-BETA-LYASE-CPLX,5.747694043973805e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
THRD_L,0.027157117460066837,THREDEHYDSYN-CPLX,1.0175727819835438e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
IMPC,-0.050620300862649244,AICARTRANSIMPCYCLO-CPLX,9.317836089415684e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
AKGtex,0.0,CPLX0-7533,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ASPTA,-0.27352432891341566,ASPAMINOTRANS-DIMER,0.00044138792781559286,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
PYRtex,0.0,CPLX0-7533,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
GLNabcpp,0.0,ABC-12-CPLX,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ASAD,-0.09991054990830485,ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX,0.00042522349259574075,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
D_LACt2pp,0.0,LCTP-MONOMER,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
KARA1,-0.0817220515841626,CPLX0-7643,0.0008473761358271172,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EX_etoh_e,0.0,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
NADH17pp,0.0,NADH-DHI-CPLX,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EX_so4_e,-0.02338550590873724,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
DHAD2,0.027157117460066837,DIHYDROXYACIDDEHYDRAT-CPLX,4.3521617726566166e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
GLUPRT,0.04176469266542345,PRPPAMIDOTRANS-CPLX,3.542360440000813e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ACLS,0.0817220515841626,ACETOLACTSYNIII-CPLX,4.601667850229542e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ACtex,0.0,CPLX0-7533,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
FORt2pp,0.0,CPLX0-7843,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
GLYCAtex,0.0,CPLX0-7533,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
DHDPS,0.034674354590055835,DIHYDRODIPICSYN-CPLX,0.00014688632944037544,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
PRAGSr,0.04176469266542345,GLYCRIBONUCSYN-MONOMER,9.39207890419054e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
GK1,0.02267313505363097,GUANYL-KIN-CPLX,9.505603478297534e-06,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
RNDR2b,0.0,RIBONUCLEOSIDE-DIP-REDUCTII-CPLX,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
IG3PS,0.008855608197225792,GLUTAMIDOTRANS-CPLX,4.85549102282536e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
3OAR181,0.0,CPLX0-8005,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
GARFT,0.04176469266542345,GART-MONOMER,1.0049198233225648e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ACALDtex,0.0,CPLX0-7533,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
PGK,-2.394847757543113,PGK,0.0016511993728550837,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
T2DECAI,0.014061215456229617,FABA-CPLX,1.6756272557501623e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
GLYCtpp,0.0,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ENO,2.2292470055926055,ENOLASE-CPLX,0.0019165445969762751,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
TMDS,0.002445859571540565,THYMIDYLATESYN-CPLX,1.2970561969060221e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
PGCD,0.16560075195050772,PGLYCDEHYDROG-CPLX,0.0003582760238832248,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
IPMD,0.042113259903146925,3-ISOPROPYLMALDEHYDROG-CPLX,0.0002426321806803018,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
NDPK4,0.002445859571540565,NUCLEOSIDE-DIP-KIN-CPLX,3.780086945209381e-06,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
H2Otex,-6.652125652163044,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
CBPS,0.05857004553056975,CARBPSYN-CPLX,0.000878035257323796,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
NH4tpp,1.0086198236450477,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
MALS,0.0,MALATE-SYNTHASE,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
CYTBD2pp,0.0,CYT-D-UBIOX-CPLX,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
3OAS140,0.019204568550491186,FABB-CPLX,0.00015917675288450463,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
FORtppi,0.00012506917781553452,CPLX0-7843,1.0594300288541885e-06,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
3OAS80,0.033265784006720804,FABB-CPLX,0.0001590073654132998,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
FORtex,-0.00012506917781553452,CPLX0-7533,4.880068604063389e-08,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
IGPS,0.0053133836132798415,PRAI-IGPS,2.1207376274063562e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
KARA2,0.027157117460066837,CPLX0-7643,0.0008482272375949931,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EX_h_e,0.858654401466481,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ANS,0.0053133836132798415,ANTHRANSYN-CPLX,0.00012175669050599149,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
3OAS161,0.014061215456229617,FABB-CPLX,0.00011567138295797845,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
G3PD2,-0.012995603627308023,GLYC3PDEHYDROGBIOSYN-CPLX,1.3426109861086697e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
GLYK,0.0,GLYCEROL-KIN-CPLX,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
HSK,0.050870439218280224,HOMOSERKIN-CPLX,2.3542886968554138e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EX_pyr_e,0.0,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EAR181y,0.0,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EX_glyc_e,0.0,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EX_glu__L_e,0.0,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
Htex,-0.858654401466481,CPLX0-7533,0.00019735144208581776,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
3OAR40,0.033265784006720804,CPLX0-8005,2.627502898081424e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ACGS,0.02764907492108564,N-ACETYLTRANSFER-CPLX,1.6607873124155935e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EX_pi_e,-0.090065979154058,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EAR80x,0.033265784006720804,CPLX0-8006,4.488622075771254e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
THRS,0.050870439218280224,THRESYN-MONOMER,0.0006085547582885181,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
VPAMTr,-0.054510625310709486,VALINE-PYRUVATE-AMINOTRANSFER-MONOMER,2.3629024286102538e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ACCOAC,0.22558591129494085,ACETYL-COA-CARBOXYLMULTI-CPLX,0.0003904438183837755,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
THD2pp,0.0,PYRNUTRANSHYDROGEN-CPLX,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
3OAS141,0.014061215456229617,FABB-CPLX,0.00011567237208449042,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
RNDR4,0.002445859571540565,RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,1.580343382855083e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EAR60x,0.033265784006720804,CPLX0-8006,4.488614474037803e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
AKGt2rpp,0.0,KGTP-MONOMER,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
PPNDH,0.01731759434080344,CHORISMUTPREPHENDEHYDRAT-CPLX,6.72467764068586e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
SULR,0.02298001256541602,SULFITE-REDUCT-CPLX,0.0003454913903572761,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ACONTa,1.3094331218512816,CPLX0-7761,0.0014481879961088088,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
TKT2,0.0,TRANSKETOI-CPLX,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
AKGDH,1.2093259011282356,2OXOGLUTARATEDEH-CPLX,0.003992333844012894,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
XYLK,0.0,CPLX0-7466,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
PSERT,0.16560075195050772,PSERTRANSAM-CPLX,0.0001858153283452759,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
G5SADs,0.020663054635286237,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
PItpp,0.0,EG11919-MONOMER,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ACONTb,1.3094331218512816,CPLX0-7761,0.0022211291704755157,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
SADT2,0.02298001256541602,SULFATE-ADENYLYLTRANS-CPLX,0.00011266314097138279,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
PItex,0.090065979154058,CPLX0-7533,3.291020850336959e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
D_LACtex,0.0,CPLX0-7533,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EX_akg_e,0.0,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
CYTBO3_4pp,3.988569622799876,CYT-O-UBIOX-CPLX,0.00026422019511041894,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
HCO3E,0.325920649490934,CPLX0-7521,8.99684635105843e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
TYRTA,-0.012889790242190544,ASPAMINOTRANS-DIMER,4.9830617748291264e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
XYLtex,0.0,CPLX0-7533,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
RIBabcpp,0.0,ABC-28-CPLX,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
SHSL1,0.014365756099968787,O-SUCCHOMOSERLYASE-CPLX,6.226388434114e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EAR60y,0.0,CPLX0-8006,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
GMPS2,0.02267313505363097,GMP-SYN-CPLX,0.000191472825332866,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
NTP5,0.0,G7841-MONOMER,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
DHFR,0.002445859571540565,DIHYDROFOLATEREDUCT-MONOMER,6.376885883037603e-06,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
DTMPK,0.002445859571540565,CPLX0-8260,3.4877061576632275e-06,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
UMPK,0.035337090367867606,UMPKI-CPLX,2.178712940935374e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
SHKK,0.035520768196273825,AROK-MONOMER,3.429199059810157e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
MTHFC,0.0923849935280727,FOLD-CPLX,3.377277382486543e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ARGSS,0.02764907492108564,CPLX0-238,0.00029383914466044297,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
O2tex,3.988569622799876,CPLX0-7533,0.0006631015469490653,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
KAS14,0.0,FABB-CPLX,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
NDPK2,0.03730735055471053,NUCLEOSIDE-DIP-KIN-CPLX,1.9099578894080338e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
Biomass,0.09347472183522759,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EX_for_e,0.00012506917781553452,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
HISTD,0.008855608197225792,HISTDEHYD-CPLX,0.00011039193779316872,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ICL,0.0,ISOCIT-LYASE,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
PAPSR,0.02298001256541602,PAPSSULFOTRANS-CPLX,4.488739138639387e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
CYSS,0.02298001256541602,ACSERLYA-CPLX,0.002284980246371619,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
IPPMIa,-0.042113259903146925,3-ISOPROPYLMALISOM-CPLX,0.00018559143731168646,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
RPI,-0.12258835869802766,RIB5PISOMA-CPLX,4.275656849585452e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EAR160x,0.0,CPLX0-8006,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
IMPD,0.02267313505363097,IMP-DEHYDROG-CPLX,0.0004536067766439167,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
SO4t2pp,0.02338550590873724,EG10003-MONOMER,1.5040430044026867e-06,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
3HAD60,0.033265784006720804,FABA-CPLX,2.0566763944084647e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
CHORS,0.035520768196273825,AROC-CPLX,3.535290606355544e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
3HAD160,0.011929991798386426,FABA-CPLX,1.387142251889807e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
SERAT,0.02298001256541602,CPLX0-237,1.9851061378691057e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
HISTP,0.008855608197225792,IMIDHISTID-CPLX,4.665744724275628e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
DAPE,0.034674354590055835,CPLX0-7997,7.3064666431399574e-06,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
GLYCAt2rpp,0.0,B2789-MONOMER,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
P5CR,0.020663054635286237,PYRROLINECARBREDUCT-CPLX,1.7199092192228694e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ACOTA,-0.02764907492108564,ACETYLORNTRANSAM-CPLX,0.00013200985882746627,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
NDPK7,0.002525406559822344,NUCLEOSIDE-DIP-KIN-CPLX,4.9376641843947765e-06,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EX_fru_e,0.0,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
TALA,0.035520768196273825,TRANSALDOLB-CPLX,0.000190525964683672,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
PFL,0.0,PYRUVFORMLY-CPLX,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
3HAD80,0.033265784006720804,FABA-CPLX,2.1491673466730298e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
RPE,0.035520768196273825,RIBULP3EPIM-MONOMER,2.790601185280404e-06,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
MALt2_2pp,0.0,DCTA-MONOMER,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
DHQS,0.035520768196273825,AROB-MONOMER,1.3755197965459919e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
3OAR100,0.033265784006720804,CPLX0-8005,2.6286301023216796e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EX_mal__L_e,0.0,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EX_xyl__D_e,0.0,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
3OAR160,0.011929991798386426,CPLX0-8005,2.5271808561620753e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
SUCOAS,-1.160285790438211,SUCCCOASYN,0.0014688323122764423,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EX_ac_e,0.0,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
GRXR,0.0,GRXB-MONOMER,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ADSK,0.02298001256541602,ADENYLYLSULFKIN-CPLX,1.4392467638020127e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
PDH,1.6155930281968047,PYRUVATEDEH-CPLX,0.002389816793217083,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
SULabcpp,0.0,ABC-7-CPLX,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
PPA,0.29265925879613947,CPLX0-243,0.0001966291131099546,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ALATA_L,0.0,CPLX0-7888,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EX_gln__L_e,0.0,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
3HAD121,0.014061215456229617,FABZ-CPLX,3.556961957408683e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
GLU5K,0.020663054635286237,GLUTKIN-CPLX,3.070394631773325e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EAR100x,0.0,CPLX0-8006,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
MCOATA,0.22558591129494085,MALONYL-COA-ACP-TRANSACYL-MONOMER,0.00011502653046914488,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
MDH,1.306686834523763,MALATE-DEHASE,0.0034991763516765673,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
PTAr,-0.05426637586255404,PHOSACETYLTRANS-CPLX,2.2224291330012637e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
GTHOr,0.0,GLUTATHIONE-REDUCT-NADPH-CPLX,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EX_o2_e,-3.988569622799876,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
DHORD2,0.03092097060948411,DIHYDROOROTOX-MONOMER,4.442122585032556e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
