"","uniprot_id","gene","MW_Da","glucose_pp_per_cell","acetate_pp_per_cell","fumarate_pp_per_cell","glycerol_pp_per_cell","pyruvate_pp_per_cell","fructose_pp_per_cell","succinate_pp_per_cell","xylose_pp_per_cell","glucose_chemostat_mu_0_5_pp_per_cell","glucose_chemostat_mu_0_12_pp_per_cell","glucose_chemostat_mu_0_20_pp_per_cell","glucose_chemostat_mu_0_35_pp_per_cell","glucose_MG1655_pp_per_cell","glucose_g_gDW","acetate_g_gDW","fumarate_g_gDW","glycerol_g_gDW","pyruvate_g_gDW","fructose_g_gDW","succinate_g_gDW","xylose_g_gDW","glucose_chemostat_mu_0_5_g_gDW","glucose_chemostat_mu_0_12_g_gDW","glucose_chemostat_mu_0_20_g_gDW","glucose_chemostat_mu_0_35_g_gDW","glucose_MG1655_g_gDW"
"11","P00363","frdA",65911.64933,37,105,221,61,64,65,222,55,86,120,94,100,37,1.44632242800802e-05,4.10442851191465e-05,8.63884477269654e-05,2.38447751644565e-05,2.50174690250036e-05,2.54083669785192e-05,8.67793456804811e-05,2.14993874433624e-05,3.36172240023485e-05,4.69077544218817e-05,3.6744407630474e-05,3.90897953515681e-05,1.44632242800802e-05
"12","P00370","gdhA",48532.35541,6343,3650,3100,4152,3776,6184,3520,5418,8053,2559,4032,5862,6032,0.00182569109909872,0.00105057110384839,0.000892265869021919,0.00119506060909,0.00108683739400863,0.00177992649484889,0.00101315350288941,0.00155945047689057,0.0023178764655592,0.00073655108349261,0.00116052128512786,0.00168724597555048,0.00173617668449684
"13","P00393","ndh",47310.63259,662,236,304,444,561,1132,412,1495,654,359,334,331,498,0.000185745354975684,6.62173773025098e-05,8.52969605930635e-05,0.000124578455603027,0.000157406562147068,0.000317618945366276,0.000115599828172178,0.000419470250284967,0.000183500698117972,0.000100728976489835,9.37144238094843e-05,9.28726774878422e-05,0.000139729889392584
"14","P00448","sodA",23064.63928,21660,24614,30246,25317,22602,28499,28643,26720,23528,15728,17327,20650,23526,0.00296282729281207,0.00336689893745504,0.00413728874877165,0.00346306087590596,0.00309168155457703,0.00389832017626275,0.00391801764302937,0.00365497438891683,0.00321834720892347,0.00215140109239835,0.002370125046286,0.00282467144951843,0.00321807363299616
"15","P00452","nrdA",82789.58209,560,348,500,667,724,801,516,671,1020,543,798,864,414,0.000274957097608768,0.000170866196371163,0.000245497408579257,0.000327493543044729,0.000355480247622764,0.00039328684854397,0.000253353325653793,0.000329457522313363,0.000500814713501684,0.000266610185717073,0.000391813864092494,0.000424219522024956,0.000203271854303625
"16","P00490","malP",90447.61358,274,157,223,274,222,439,237,226,564,221,339,447,217,0.000146976835655691,8.4216654007093e-05,0.00011961983339861,0.000146976835655691,0.000119083421589647,0.000235484784134483,0.000127129598724083,0.000121229068825497,0.00030253626025478,0.000118547009780685,0.000181843603238245,0.000239776078606182,0.000116401362544836
"17","P00509","aspC",43527.99762,6985,7853,8584,8701,8218,9171,9920,9984,7922,3113,4338,6683,7538,0.00180316852122989,0.00202724157440492,0.00221594825858803,0.00224615165400448,0.00212146584215709,0.00236748153302783,0.00256083489342886,0.00257735640887033,0.00204505383324026,0.000803616837020567,0.00111984896851758,0.00172520762024043,0.0019459247405914
"18","P00547","thrB",33583.89194,594,380,454,442,841,712,400,1172,327,151,176,208,844,0.000118309245933719,7.56860495872278e-05,9.04249118752669e-05,8.80348260988281e-05,0.000167505178165417,0.0001418117560687,7.96695258812924e-05,0.000233431710832187,6.51298374079565e-05,3.00752460201879e-05,3.50545913877687e-05,4.1428153458272e-05,0.000168102699609527
"19","P00550","mtlA",67910.6114,570,812,1168,1294,548,1014,1121,831,1660,2309,2260,1777,234,0.000229569249051098,0.000327035491630687,0.000470415584020496,0.000521162470652844,0.000220708681543863,0.000408391611469849,0.000451486189800493,0.000334687799932391,0.00066857009372776,0.000929956835191203,0.000910221934834179,0.000715692202743512,9.42442180315035e-05
"20","P00561","thrA",89045.79557,5703,2108,3423,4679,10181,9641,3815,9303,7938,1464,2045,3275,4375,0.00301174367874763,0.00111323087406628,0.0018076799250137,0.00247097118584256,0.00537656713893207,0.00509139414462667,0.00201469439495392,0.00491289697411699,0.00419204301628944,0.000773135673450206,0.00107996069139732,0.00172952140064851,0.00231042935201137
"21","P00562","metL",88814.63109,343,182,128,214,171,390,177,265,326,162,180,171,220,0.000180667424585271,9.58643477391232e-05,6.74210797286141e-05,0.000112719617671277,9.00703486999454e-05,0.000205423602298121,9.32307118122242e-05,0.000139582704125646,0.000171713062433814,8.53298040315272e-05,9.48108933683636e-05,9.00703486999454e-05,0.000115879980783556
"22","P00579","rpoD",70201.22445,648,435,602,591,602,608,564,696,737,519,494,557,668,0.000269786932696778,0.000181106968708485,0.00025063539117818,0.00024605567472808,0.00025063539117818,0.00025313341833278,0.000234814552532381,0.000289771149933577,0.000306841002156675,0.000216079348872883,0.000205670902395384,0.000231900187518681,0.000278113689878778
"23","P00582","polA",103035.5166,440,352,445,443,482,423,380,417,460,340,360,398,327,0.000268869071167623,0.000215095256934099,0.000271924401521801,0.00027070226938013,0.000294533846142715,0.00025848094796342,0.000232205106917493,0.000254814551538407,0.000281090392584334,0.000207762464084073,0.000219983785500783,0.000243204296192532,0.000199818605163211
"24","P00803","lepB",35919.47649,147,82,121,136,131,148,109,147,135,102,99,114,77,3.13147212840418e-05,1.74680758183091e-05,2.57760630977487e-05,2.89714428206101e-05,2.7906316246323e-05,3.15277465988993e-05,2.32197593194596e-05,3.13147212840418e-05,2.87584175057527e-05,2.17285821154576e-05,2.10895061708853e-05,2.42848858937467e-05,1.64029492440219e-05
"25","P00805","ansB",36809.73585,5,2,2,3,3,1,1,3,1,1,1,2,14,1.09152559217393e-06,4.36610236869573e-07,4.36610236869573e-07,6.5491535530436e-07,6.5491535530436e-07,2.18305118434787e-07,2.18305118434787e-07,6.5491535530436e-07,2.18305118434787e-07,2.18305118434787e-07,2.18305118434787e-07,4.36610236869573e-07,3.05627165808701e-06
"26","P00811","ampC",41511.40147,19,8,13,11,11,5,9,10,10,4,6,7,12,4.67759066713716e-06,1.96951185984723e-06,3.20045677225174e-06,2.70807880728994e-06,2.70807880728994e-06,1.23094491240452e-06,2.21570084232813e-06,2.46188982480903e-06,2.46188982480903e-06,9.84755929923613e-07,1.47713389488542e-06,1.72332287736632e-06,2.95426778977084e-06
"27","P00861","lysA",46130.41262,726,369,622,712,545,960,724,770,736,194,326,516,901,0.000198621006085543,0.000100951998960834,0.000170168410172463,0.000194790848943398,0.000149102545890663,0.000262639346889975,0.000198073840779523,0.000210658642818001,0.000201356832615647,5.30750346840157e-05,8.91879448813873e-05,0.000141168648953361,0.000246497970362362
"28","P00864","ppc",98982.23464,3633,1349,1452,2185,1536,5126,1479,3575,4288,1673,2129,2871,2042,0.00213267103031219,0.000791900143102434,0.00085236397908431,0.0012826551613631,0.000901674291923898,0.00300910313828249,0.000868213722497034,0.00209862343335152,0.00251717406495421,0.000982097064055131,0.00124978161947004,0.00168535604955307,0.00119871022402904
"29","P00887","aroH",38692.6325,300,100,141,166,136,254,187,221,171,66,69,118,247,6.88415675262134e-05,2.29471891754045e-05,3.23555367373203e-05,3.80923340311714e-05,3.12081772785501e-05,5.82858605055273e-05,4.29112437580063e-05,5.07132880776439e-05,3.92396934899416e-05,1.51451448557669e-05,1.58335605310291e-05,2.70776832269773e-05,5.6679557263249e-05
"30","P00888","aroF",38761.41858,2076,1423,1042,1980,4245,3377,1289,327,1231,354,459,678,1153,0.000477230541420031,0.000327119007919414,0.000239534790057646,0.000455162077076908,0.000975839907672463,0.000776304209236727,0.000296315109773806,7.51707066687621e-05,0.000282982079233169,8.13774622652654e-05,0.000105514845140556,0.000155858529423305,0.000265051451954382
"31","P00892","ilvG",59228.74221,52,13,29,35,72,37,28,60,23,2,3,6,63,1.82657315730417e-05,4.56643289326043e-06,1.01866579926579e-05,1.22942424049319e-05,2.52910129472885e-05,1.29967705423566e-05,9.83539392394553e-06,2.10758441227404e-05,8.07907358038383e-06,7.02528137424681e-07,1.05379220613702e-06,2.10758441227404e-06,2.21296363288774e-05
"32","P00893","ilvI",62925.97681,441,307,343,472,462,443,305,448,452,284,359,413,594,0.000164577239249004,0.000114569642742504,0.000128004519415892,0.000176146160828866,0.000172414250641813,0.000165323621286414,0.000113823260705093,0.00016718957637994,0.000168682340454761,0.000105986249312284,0.000133975575715175,0.000154127890725257,0.000221675465110903
"33","P00894","ilvH",17947.67665,1533,902,958,1246,1335,1931,1401,1823,1078,715,826,855,1338,0.000163174243870392,9.6009894305997e-05,0.000101970597278431,0.000132625641136666,0.000142098901217856,0.000205537811424479,0.000149124015435368,0.000194042169977641,0.000114743532219362,7.61054040230464e-05,8.79203688434075e-05,9.10071614541325e-05,0.000142418224591379
"34","P00895","trpE",57440.09143,1090,466,727,1318,991,1472,786,784,1558,790,878,1091,581,0.000371315294270413,0.000158745804706434,0.000247657081591367,0.000448984915457252,0.000337590327176128,0.000501445975381696,0.000267755799354628,0.000267074486888077,0.000530742411443398,0.000269118424287731,0.000299096172815984,0.000371655950503689,0.000197921271533128
"35","P00903","pabA",20740.60435,152,30,81,106,11,NA,19,NA,37,24,49,72,NA,1.86967539331973e-05,3.69014880260473e-06,9.96340176703278e-06,1.30385257692034e-05,1.35305456095507e-06,NA,2.33709424164967e-06,NA,4.55118352321251e-06,2.95211904208379e-06,6.0272430442544e-06,8.85635712625136e-06,NA
"36","P00904","trpG",56816.25068,1025,523,648,1101,992,1312,605,671,1366,648,772,868,630,0.000345380372841249,0.000176228229264364,0.000218347786927931,0.000370989063900697,0.000334260809618067,0.000442086877236798,0.000203858659091664,0.000226097785538027,0.000460282526147459,0.000218347786927931,0.000260130388130189,0.000292478208415809,0.000212282570624377
"37","P00909","trpC",49312.34103,804,334,461,616,653,813,465,496,572,312,359,464,620,0.000235132621982018,9.76794723159131e-05,0.000134821068076754,0.000180151362115576,0.000190972141982908,0.000237764703571369,0.000135990882116466,0.00014505694092423,0.000167283407678749,9.12454950974996e-05,0.00010499081006411,0.000135698428606538,0.000181321176155288
"38","P00926","dsdA",47852.13812,67,28,31,29,22,23,16,29,29,20,29,20,203,1.90141697943256e-05,7.94622021255397e-06,8.79760094961332e-06,8.23001379157375e-06,6.24345873843526e-06,6.52725231745505e-06,4.54069726431655e-06,8.23001379157375e-06,8.23001379157375e-06,5.67587158039569e-06,8.23001379157375e-06,5.67587158039569e-06,5.76100965410163e-05
"39","P00934","thrC",47066.2141,14609,5601,8868,11109,19636,14507,10117,16975,8769,2992,3423,5094,13676,0.00407784742721272,0.0015634214141843,0.00247534745598757,0.00310088350119146,0.00548104675752953,0.00404937590708296,0.00282398401130201,0.00473827504120309,0.00244771333350868,0.000835164590473027,0.000955470719648788,0.00142190121118636,0.00381741675779048
"40","P00935","metB",41506.48419,1916,1074,696,1347,870,1585,883,1211,1210,747,776,653,716,0.000471642214902738,0.000264375646558215,0.000171327234641078,0.000331577277387259,0.000214159043301347,0.000390163314520271,0.000217359120959873,0.00029809954188268,0.000297853382062794,0.000183881385455295,0.000191020020232006,0.000160742362385954,0.00017625043103881
"41","P00936","cyaA",97506.18956,3,3,2,2,1,1,1,2,7,1,1,4,2,1.73482094629217e-06,1.73482094629217e-06,1.15654729752811e-06,1.15654729752811e-06,5.78273648764056e-07,5.78273648764056e-07,5.78273648764056e-07,1.15654729752811e-06,4.04791554134839e-06,5.78273648764056e-07,5.78273648764056e-07,2.31309459505622e-06,1.15654729752811e-06
"42","P00944","xylA",49692.50395,260,219,204,228,195,240,222,30351,212,167,167,181,NA,7.66241105648337e-05,6.45410777449945e-05,6.01204559816387e-05,6.7193450803008e-05,5.74680829236253e-05,7.07299482136926e-05,6.54252020976657e-05,0.00894468607597411,6.24781209220952e-05,4.92162556320278e-05,4.92162556320278e-05,5.33421692778265e-05,NA
"43","P00946","manA",42804.99234,914,901,905,887,850,846,817,1070,913,556,656,767,851,0.000232028769504436,0.000228728579128552,0.000229744022321132,0.000225174527954524,0.000215781678423163,0.000214766235230583,0.000207404272084381,0.00027163105401504,0.000231774908706291,0.000141146603768563,0.000166532683583053,0.000194711232177136,0.000216035539221308
"44","P00954","trpS",37396.06115,1818,925,1098,1372,1221,1550,1136,1459,1092,614,655,854,2870,0.000403200403109432,0.000205148719953919,0.000243517075145301,0.000304285452731651,0.000270796310339173,0.000343762719922783,0.000251944806343408,0.000323580521527316,0.000242186380745599,0.000136174393569412,0.00014526747196737,0.000189402169557456,0.000636515487857024
"45","P00956","ileS",104212.5396,2166,1348,1657,1814,1921,2021,1569,2454,1647,884,1074,1363,1980,0.0013386888597381,0.000833126769587702,0.0010241031581653,0.00112113646886654,0.00118726745131897,0.00124907210781658,0.000969715060447407,0.0015166862704512,0.00101792269251554,0.00054635316343882,0.000663782010784267,0.000842397468062343,0.00122373219865256
"46","P00957","alaS",95954.64438,1948,1133,1510,1710,1846,2613,1821,2389,1726,1038,1193,1440,2167,0.00110855225632348,0.000644758576188143,0.000859298720250747,0.000973113120283959,0.00105050691230654,0.00148698513643391,0.00103628011230239,0.00135951300839671,0.000982218272286616,0.000590696736172368,0.000678902896198107,0.000819463680239123,0.00123317902435985
"47","P00959","metG",76188.10041,2082,1094,1274,1467,1417,1920,1295,1672,1506,840,974,1186,2152,0.000940738868515562,0.000494317157615766,0.000575649048265526,0.000662854908795547,0.000640262716948391,0.000867540166930777,0.000585137768841332,0.000755482895368885,0.000680476818436329,0.000379548823032215,0.000440095897182592,0.000535886790614532,0.00097236793710158
"48","P00960","glyQ",34734.16,1660,913,1197,1220,1146,1609,1434,1498,1218,701,822,987,1183,0.000341952754187028,0.000188074014802866,0.000246576775157755,0.000251314674763961,0.000236070997770081,0.000331446976799355,0.00029539774066518,0.000308581461308535,0.000250902683493856,0.000144402940171751,0.000169328412013095,0.000203317691796745,0.000243692836267021
"49","P00961","glyS",76746.96578,2914,1959,2514,2683,2693,3272,2448,3304,2680,1621,1696,2170,3030,0.00132633118021374,0.000891655038448427,0.0011442678747623,0.00122118962131553,0.00122574120395182,0.00148927783859278,0.00111422742936281,0.00150384290302889,0.00121982414652465,0.00073781154534196,0.000771948415114105,0.000987693432074062,0.00137912953879466
"50","P00962","glnS",63419.78257,999,593,742,845,773,975,646,850,814,462,520,617,1309,0.000375743480971141,0.000223038923139026,0.000279080743624211,0.000317821062483098,0.000290740451241934,0.00036671661055742,0.000242973261969327,0.000319701660485956,0.000306161354865375,0.000173767255464132,0.000195582192297291,0.000232065793552747,0.000492340557148373
"51","P00963","asnA",36609.75524,1766,535,581,830,1030,1230,587,922,1051,186,347,579,1426,0.00038343234185273,0.000116158721908953,0.000126146200802059,0.000180208858288656,0.000223632679563031,0.000267056500837406,0.00012744891544029,0.000200183816074868,0.00022819218079684,4.03841537851687e-05,7.53403299110405e-05,0.000125711962589315,0.000309611845686293
"52","P00968","carB",117749.3328,4445,1514,2501,2852,1847,3695,2607,2687,3000,1117,1409,1873,4414,0.00310406950880106,0.00105726911953314,0.00174651919944015,0.00199163244974142,0.00128981245956256,0.00258032324747355,0.00182054200437444,0.00187640827224937,0.00209498504531005,0.000780032765203776,0.000983944642947288,0.00130796899662191,0.00308242132999953
"53","P02358","rpsF",15675.59882,17452,8724,10379,12148,10030,13982,9913,14694,13163,5764,7068,8789,18726,0.00162244716163733,0.000811037648299568,0.000964896807852042,0.00112935412099303,0.000932451583269678,0.00129985424100465,0.000921574530902524,0.00136604621780305,0.00122371487443457,0.000535857520036533,0.000657085522487545,0.000817080455170209,0.00174088617630189
"54","P02359","rpsG",19988.68708,54022,22645,33375,37345,29262,44052,34069,43215,33810,14891,17001,24753,65097,0.00640407110497082,0.00268446540616905,0.00395645983355672,0.00442708591712886,0.00346888172732694,0.0052221713434559,0.0040387304889721,0.00512294866538288,0.00400802717520757,0.00176526272304099,0.00201539396645087,0.00293435955835294,0.0077169637688402
"55","P02413","rplO",14953.31259,6986,3390,5169,6175,5163,11295,4945,7921,9696,4183,5344,6463,6474,0.000619536946397376,0.000300634160934312,0.000458400583442319,0.000547615322645834,0.000457868487582258,0.00100167045656432,0.000438535671333385,0.000702455217923507,0.000859866909858139,0.000370959497105672,0.000473920046027423,0.000573155923928749,0.000574131433005527
"56","P02916","malF",56958.59293,1,1,3,2,4,4,2,0,29,30,56,54,1,3.37800641279594e-07,3.37800641279594e-07,1.01340192383878e-06,6.75601282559188e-07,1.35120256511838e-06,1.35120256511838e-06,6.75601282559188e-07,0,9.79621859710822e-06,1.01340192383878e-05,1.89168359116573e-05,1.82412346290981e-05,3.37800641279594e-07
"57","P02918","mrcA",93559.40765,31,24,29,19,33,94,70,51,36,30,30,32,14,1.72008684653295e-05,1.33168013925132e-05,1.60911350159534e-05,1.05424677690729e-05,1.83106019147056e-05,5.21574721206766e-05,3.88406707281634e-05,2.82982029590905e-05,1.99752020887697e-05,1.66460017406415e-05,1.66460017406415e-05,1.77557351900175e-05,7.76813414563268e-06
"58","P02919","mrcB",88815.91013,91,55,67,83,124,137,79,106,116,116,116,117,39,4.79328641518598e-05,2.89704123994757e-05,3.52912296502704e-05,4.37189859846634e-05,6.53151115915453e-05,7.21626636132395e-05,4.16120469010651e-05,5.58338857153532e-05,6.11012334243488e-05,6.11012334243488e-05,6.11012334243488e-05,6.16279681952484e-05,2.05426560650828e-05
"59","P02924","araF",35500.25494,35,145,236,89,109,29,163,89,118,656,381,312,1,7.36886726585852e-06,3.05281643871281e-05,4.96872192783603e-05,1.87379767617545e-05,2.29487580565308e-05,6.10563287742563e-06,3.43178675524268e-05,1.87379767617545e-05,2.48436096391801e-05,0.000138113626468662,8.02153836654884e-05,6.56881881985102e-05,2.10539064738815e-07
"60","P02925","rbsB",30913.36533,5038,13630,22714,18597,26849,10739,22037,3592,15985,20437,20926,20165,3235,0.000923646240763273,0.00249886825359337,0.00416429152693469,0.00340949764578694,0.00492238545419871,0.00196884418014228,0.00404017312578409,0.000658542536090051,0.00293062428713793,0.00374683569322727,0.00383648694605245,0.00369696832969261,0.000593091621450811
"61","P02929","tonB",26059.99904,108,52,83,86,98,141,95,171,96,43,55,59,120,1.66916537951321e-05,8.03672219765621e-06,1.2827845046259e-05,1.32915020961237e-05,1.51461302955829e-05,2.17918813436447e-05,1.46824732457181e-05,2.64284518422925e-05,1.4837025595673e-05,6.64575104806187e-06,8.50037924752099e-06,9.1185886473407e-06,1.85462819945913e-05
"62","P02930","tolC",53690.18447,4884,3449,4196,4795,3737,5378,4628,5212,3279,2501,2593,2881,3968,0.00155514815291242,0.00109821989750101,0.00133607732383712,0.00152680904856983,0.00118992396548602,0.00171244610285892,0.00147363342581463,0.00165958889700645,0.00104408902403764,0.000796360673717026,0.000825655028767792,0.000917359096752799,0.00126347827001566
"63","P02931","ompF",39291.06024,24017,20980,34911,36613,27427,27043,28643,23155,44750,25177,33812,45283,25214,0.00559646411837595,0.00488877949800256,0.00813499433054182,0.00853159598476491,0.00639106555251269,0.00630158550831665,0.00667441902580016,0.00539560006083171,0.010427687442117,0.0058667684185515,0.00787890430822033,0.0105518876076287,0.00587539019364331
"64","P02942","tsr",59388.25188,0,0,0,0,0,1,1,0,13,0,5,31,3941,0,0,0,0,0,3.52210062390283e-07,3.52210062390283e-07,0,4.57873081107368e-06,0,1.76105031195142e-06,1.09185119340988e-05,0.00138805985588011
"65","P02943","lamB",49862.58108,903,1032,2084,1671,1206,1193,1519,482,2979,2392,3176,5791,301,0.000267032255036533,0.000305179720041752,0.000616273775743227,0.000494142744369929,0.000356634440281349,0.000352790122102529,0.000449193793356028,0.000142535489399345,0.00088094029651587,0.000707354544902975,0.00093919650276415,0.00171249589027305,8.90107516788442e-05
"66","P03004","dnaA",52500.23299,66,51,75,77,59,79,66,74,98,59,58,74,83,2.05497424760402e-05,1.58793464587584e-05,2.33519800864094e-05,2.39746995553803e-05,1.8370224334642e-05,2.45974190243512e-05,2.05497424760402e-05,2.30406203519239e-05,3.05132539795749e-05,1.8370224334642e-05,1.80588646001566e-05,2.30406203519239e-05,2.5842857962293e-05
"67","P03007","dnaQ",27063.74021,15,13,21,13,14,15,13,15,9,5,8,8,20,2.40757759139109e-06,2.08656724587228e-06,3.37060862794752e-06,2.08656724587228e-06,2.24707241863168e-06,2.40757759139109e-06,2.08656724587228e-06,2.40757759139109e-06,1.44454655483465e-06,8.0252586379703e-07,1.28404138207525e-06,1.28404138207525e-06,3.21010345518812e-06
"68","P03018","uvrD",81920.30694,31,32,30,36,30,36,30,38,53,42,43,39,20,1.50610233616027e-05,1.55468628248802e-05,1.45751838983252e-05,1.74902206779902e-05,1.45751838983252e-05,1.74902206779902e-05,1.45751838983252e-05,1.84618996045452e-05,2.57494915537078e-05,2.04052574576553e-05,2.08910969209328e-05,1.89477390678227e-05,9.71678926555012e-06
"69","P03023","lacI",38548.06158,23,9,28,10,13,NA,14,NA,10,3,7,24,NA,5.25813337014281e-06,2.05753044918632e-06,6.40120584191299e-06,2.28614494354035e-06,2.97198842660246e-06,NA,3.20060292095649e-06,NA,2.28614494354035e-06,6.85843483062105e-07,1.60030146047825e-06,5.48674786449684e-06,NA
"70","P03024","galR",37052.69803,64,37,56,68,48,NA,23,NA,38,16,11,29,9,1.40637464648669e-05,8.13060342500118e-06,1.23057781567585e-05,1.49427306189211e-05,1.05478098486502e-05,NA,5.05415888581155e-06,NA,8.35034946351473e-06,3.51593661621673e-06,2.417206423649e-06,6.37263511689282e-06,1.97771434662191e-06
"71","P03813","ygeA",25213.74597,4,14,57,45,39,6,6,6,72,60,53,69,34,5.98134126536034e-07,2.09346944287612e-06,8.52341130313849e-06,6.72900892353039e-06,5.83180773372634e-06,8.97201189804052e-07,8.97201189804052e-07,8.97201189804052e-07,1.07664142776486e-05,8.97201189804052e-06,7.92527717660246e-06,1.03178136827466e-05,5.08414007555629e-06
"72","P03817","mioC",15779.90774,4170,1738,2800,3315,3620,3660,3216,4043,2454,1086,1511,1954,4377,0.000390248940051952,0.000162650517460502,0.000262037657588841,0.000310233869609646,0.000338777257311287,0.000342520652419699,0.000300968966716326,0.000378363660582744,0.000229657289901077,0.000101633177193386,0.000141406750220264,0.000182864851045927,0.000409621009737984
"73","P03819","kefC",67734.07836,2,4,5,4,3,3,4,1,11,10,9,10,NA,8.0341223086777e-07,1.60682446173554e-06,2.00853057716943e-06,1.60682446173554e-06,1.20511834630166e-06,1.20511834630166e-06,1.60682446173554e-06,4.01706115433885e-07,4.41876726977274e-06,4.01706115433885e-06,3.61535503890497e-06,4.01706115433885e-06,NA
"74","P03841","malM",31905.64602,240,333,700,764,578,481,582,142,1070,502,845,1035,334,4.54129800540874e-05,6.30105098250462e-05,0.000132454525157755,0.000144564653172178,0.00010936959363026,9.10151808584001e-05,0.000110126476631162,2.68693465320017e-05,0.00020246620274114,9.49888166131328e-05,0.000159891533940433,0.000195843476483252,6.31997305752716e-05
"75","P03856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","P04036","dapB",28720.56121,3082,1619,1223,1753,1654,2282,1115,2035,1467,852,977,1088,3109,0.000524960677807681,0.000275766170464191,0.000208315025619336,0.000298590547760177,0.000281727761548963,0.000388695738727167,0.000189919258843467,0.000346623938786058,0.000249875832038893,0.000145122160120748,0.000166413556852078,0.000185320317149499,0.000529559619501649
