"reaction_id","direction","value","par_type","unit","condition","notes","saturation","model_type","enzyme","MW","num_pp_subunits","kcat_times_pp_num","EC_kcat_value","ec_cost","enzyme_pool_bound_g_gDw"
"PPCK","fwd",35.587293063962,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","PEPCARBOXYKIN-MONOMER",59.643,1,35.587293063962,35.587293063962,0.000465545383578987,0.238325537615054
"ME1","fwd",82.029514720553,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","MALIC-NAD-CPLX",252.788,4,328.118058882212,328.118058882212,0.000214004950316057,0.238325537615054
"ALATA_L","fwd",32.7122406320375,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","G6646-MONOMER",44.729,1,32.7122406320375,32.7122406320375,0.000379818746199054,0.238325537615054
"ALATA_L","bwd",12.1988681743575,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","G6646-MONOMER",44.729,1,12.1988681743575,12.1988681743575,0.00101851434449792,0.238325537615054
"XYLK","fwd",9.379294311,"kcat","s-1","manual_curation","Heckmann_et_al_2020: kcat_in_vitro_per_s_ensemble_model",1,"glucose_batch","RIBULOKIN-MONOMER",61.089,1,9.379294311,9.379294311,0.00180921571538333,0.238325537615054
"RBK","fwd",2.89024628988296,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CPLX0-7647",64.58,2,5.78049257976592,5.78049257976592,0.00310334952278674,0.238325537615054
"GLYK","fwd",14.28,"kcat","s-1","manual_curation","Heckmann_et_al_2020: kcat_in_vitro_per_s_ensemble_model",1,"glucose_batch","GLYCEROL-KIN-CPLX",224.924,4,57.12,57.12,0.00109381808278867,0.238325537615054
"ASPTA","bwd",21.5778026792875,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","TYRB-DIMER",87.076,2,43.155605358575,43.155605358575,0.000560478240933114,0.238325537615054
"FBP","fwd",104.90782631666,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","EG11736-MONOMER",21.294,1,104.90782631666,104.90782631666,5.63828286952187e-05,0.238325537615054
"PYK","fwd",60.9955643127855,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","PKI-COMPLEX",202.916,4,243.982257251142,243.982257251142,0.000231023174351305,0.238325537615054
"GTHOr","fwd",3.41978411729473,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","GLUTATHIONE-REDUCT-NADPH-CPLX",97.544,2,6.83956823458946,6.83956823458946,0.0039615886012404,0.238325537615054
"GTHOr","bwd",2.28720726634714,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","GLUTATHIONE-REDUCT-NADPH-CPLX",97.544,2,4.57441453269428,4.57441453269428,0.00592328381302089,0.238325537615054
"ILETA","bwd",3.5290306367644,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","BRANCHED-CHAINAMINOTRANSFER-CPLX",204.564,6,21.1741838205864,21.1741838205864,0.0026836138674723,0.238325537615054
"DHORD5","fwd",0.00266836643542162,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","DIHYDROOROTOX-MONOMER",36.775,1,0.00266836643542162,0.00266836643542162,3.82828896442917,0.238325537615054
"VALTA","bwd",6.30167006226882,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","BRANCHED-CHAINAMINOTRANSFER-CPLX",204.564,6,37.8100203736129,37.8100203736129,0.00150286439340269,0.238325537615054
"IPPMIb","fwd",3.65918729423289,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","3-ISOPROPYLMALISOM-CPLX",72.369,2,7.31837458846578,7.31837458846578,0.00274685311020876,0.238325537615054
"IPPMIb","bwd",8.52315462273109,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","3-ISOPROPYLMALISOM-CPLX",72.369,2,17.0463092454622,17.0463092454622,0.00117928753435888,0.238325537615054
"ORPT","bwd",27.6977892323171,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","OROPRIBTRANS-CPLX",47.134,2,55.3955784646342,55.3955784646342,0.000236350592243323,0.238325537615054
"ACHBS","fwd",7.39598742300197,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ACETOLACTSYNI-CPLX",143.094,4,29.5839496920079,29.5839496920079,0.00134357764082026,0.238325537615054
"DHAD2","fwd",6.50987261611766,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","DIHYDROXYACIDDEHYDRAT-CPLX",131.064,2,13.0197452322353,13.0197452322353,0.00279626567319675,0.238325537615054
"ACLS","fwd",29.7963679724139,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ACETOLACTSYNI-CPLX",143.094,4,119.185471889656,119.185471889656,0.000333499819257612,0.238325537615054
"TRPS2","fwd",4.79727888903391,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CPLX0-2401",85.966,2,9.59455777806782,9.59455777806782,0.00248885305574275,0.238325537615054
"PSCVT","fwd",6.89192218896781,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","AROA-MONOMER",46.096,1,6.89192218896781,6.89192218896781,0.0018578916147575,0.238325537615054
"PFL","fwd",12.6110345608035,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","KETOBUTFORMLY-MONOMER",85.935,1,12.6110345608035,12.6110345608035,0.00189285289943829,0.238325537615054
"ANS","fwd",3.65552348894893,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ANTHRANSYN-CPLX",228.73,4,14.6220939557957,14.6220939557957,0.00434521288833105,0.238325537615054
"FRD2","fwd",7.85393704675326,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","FUMARATE-REDUCTASE",121.217,4,31.415748187013,31.415748187013,0.00107179968111688,0.238325537615054
"ANPRT","fwd",2.19356022173354,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","ANTHRANSYNCOMPII-MONOMER",56.87,1,2.19356022173354,2.19356022173354,0.00720163598232005,0.238325537615054
"CHORM","fwd",13.0116763768099,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CHORISMUTPREPHENDEHYDROG-CPLX",84.084,2,26.0233527536198,26.0233527536198,0.000897527189820604,0.238325537615054
"PTAr","fwd",46.4459265343548,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CPLX0-7912",72.134,2,92.8918530687096,92.8918530687096,0.000215704839125141,0.238325537615054
"PTAr","bwd",27.5564088075945,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CPLX0-7912",72.134,2,55.112817615189,55.112817615189,0.000363567371244326,0.238325537615054
"CHORS","fwd",30.4540375934807,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","AROC-CPLX",156.548,4,121.816150373923,121.816150373923,0.000356976931400916,0.238325537615054
"IGPS","fwd",3.13419295866496,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","PRAI-IGPS",49.492,1,3.13419295866496,3.13419295866496,0.00438638525422308,0.238325537615054
"ACKr","fwd",57.6480788258165,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","GARTRANSFORMYL2-MONOMER",42.434,1,57.6480788258165,57.6480788258165,0.000204468604371661,0.238325537615054
"ACKr","bwd",139.780070170674,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","GARTRANSFORMYL2-MONOMER",42.434,1,139.780070170674,139.780070170674,8.43269159031742e-05,0.238325537615054
"LEUTAi","fwd",16.0854015399696,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","TYRB-DIMER",87.076,2,32.1708030799392,32.1708030799392,0.000751854957356056,0.238325537615054
"ENO","fwd",38.7405247124271,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","ENOLASE-CPLX",91.31,2,77.4810494248542,77.4810494248542,0.00032735603192221,0.238325537615054
"FBA","fwd",63.4163125546283,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","FRUCBISALD-CLASSII",78.294,2,126.832625109257,126.832625109257,0.000171472705186058,0.238325537615054
"FBA","bwd",42.1200361300216,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","FRUCBISALD-CLASSII",78.294,2,84.2400722600432,84.2400722600432,0.000258170876993051,0.238325537615054
"HCO3E","fwd",62.0239021864702,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CARBODEHYDRAT-CPLX",47.528,2,124.04780437294,124.04780437294,0.000106428503825273,0.238325537615054
"HCO3E","bwd",6.09910261546728,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CARBODEHYDRAT-CPLX",47.528,2,12.1982052309346,12.1982052309346,0.001082308583294,0.238325537615054
"IMPC","bwd",7.83467699709436,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","AICARTRANSIMPCYCLO-CPLX",57.329,1,7.83467699709436,7.83467699709436,0.00203259460831994,0.238325537615054
"IMPD","fwd",1.27458775649208,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","IMP-DEHYDROG-CPLX",208.088,4,5.09835102596832,5.09835102596832,0.0113374347760302,0.238325537615054
"PPS","fwd",41.2332643931583,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","PEPSYNTH-CPLX",174.87,2,82.4665287863166,82.4665287863166,0.00058902685386292,0.238325537615054
"PGI","fwd",105.334640283576,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","CPLX-8401",62.152,2,210.669280567152,210.669280567152,8.19504599719811e-05,0.238325537615054
"PGK","bwd",78.3161052746326,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","PGK",41.118,1,78.3161052746326,78.3161052746326,0.000145840585746879,0.238325537615054
"PGL","fwd",588.747629875143,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","6PGLUCONOLACT-MONOMER",36.308,1,588.747629875143,588.747629875143,1.71305242582368e-05,0.238325537615054
"RPE","fwd",70.0209263106985,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","RIBULP3EPIM-MONOMER",24.554,1,70.0209263106985,70.0209263106985,9.74073882612067e-05,0.238325537615054
"RPE","bwd",4.62928619064774,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","RIBULP3EPIM-MONOMER",24.554,1,4.62928619064774,4.62928619064774,0.00147334929720584,0.238325537615054
"DHQTi","fwd",35.4331476327515,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","AROD-CPLX",54.934,2,70.866295265503,70.866295265503,0.00021532724953766,0.238325537615054
"IPMD","fwd",6.37229853315127,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","G6986-MONOMER",40.315,1,6.37229853315127,6.37229853315127,0.00175738959071855,0.238325537615054
"AIRC3","bwd",11.3400452404697,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","PURE-CPLX",142.24,8,90.7203619237576,90.7203619237576,0.000435526383198479,0.238325537615054
"TALA","fwd",39.8354070365591,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","TRANSALDOLA-MONOMER",35.659,1,39.8354070365591,39.8354070365591,0.00024865511650696,0.238325537615054
"TALA","bwd",3.30274872857859,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","TRANSALDOLA-MONOMER",35.659,1,3.30274872857859,3.30274872857859,0.00299910123106481,0.238325537615054
"ADSL2r","fwd",8.20840409553331,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","CPLX0-7959",206.172,4,32.8336163821332,32.8336163821332,0.00174424892261226,0.238325537615054
"TKT1","fwd",66.2379265801991,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CPLX0-1261",73.043,1,66.2379265801991,66.2379265801991,0.000306315781150788,0.238325537615054
"TKT1","bwd",6.07989957898194,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CPLX0-1261",73.043,1,6.07989957898194,6.07989957898194,0.0033371804844217,0.238325537615054
"RNDR1","fwd",12.9,"kcat","s-1","manual_curation","max entry for escherichia coli in Brenda (from GECKO3 db)",1,"glucose_batch","RIBONUCLEOSIDE-DIP-REDUCTI-CPLX",258.584,4,51.6,51.6,0.00139203273040482,0.238325537615054
"ALCD2x","fwd",2.79577791442476,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CPLX0-8015",141.52,4,11.183111657699,11.183111657699,0.00351522119374059,0.238325537615054
"ALCD2x","bwd",3.61105120912694,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CPLX0-8015",141.52,4,14.4442048365078,14.4442048365078,0.00272158360782535,0.238325537615054
"RNDR3","fwd",12.9,"kcat","s-1","manual_curation","max entry for escherichia coli in Brenda (from GECKO3 db)",1,"glucose_batch","RIBONUCLEOSIDE-DIP-REDUCTI-CPLX",258.584,4,51.6,51.6,0.00139203273040482,0.238325537615054
"RNDR4","fwd",12.9,"kcat","s-1","manual_curation","max entry for escherichia coli in Brenda (from GECKO3 db)",1,"glucose_batch","RIBONUCLEOSIDE-DIP-REDUCTI-CPLX",258.584,4,51.6,51.6,0.00139203273040482,0.238325537615054
"TMDS","fwd",2.36867469894359,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","THYMIDYLATESYN-CPLX",60.96,2,4.73734939788718,4.73734939788718,0.00357443201062718,0.238325537615054
"DHAD1","fwd",19.5900340997471,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","DIHYDROXYACIDDEHYDRAT-CPLX",131.064,2,39.1800681994942,39.1800681994942,0.000929213968727514,0.238325537615054
"IPPMIa","fwd",3.33618686018532,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","3-ISOPROPYLMALISOM-CPLX",72.369,2,6.67237372037064,6.67237372037064,0.00301279587182406,0.238325537615054
"IPPMIa","bwd",8.23008259668299,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","3-ISOPROPYLMALISOM-CPLX",72.369,2,16.460165193366,16.460165193366,0.0012212817893287,0.238325537615054
"MDH","fwd",95.5484573348072,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","MALATE-DEHASE",64.674,2,191.096914669614,191.096914669614,9.40098903797558e-05,0.238325537615054
"MDH","bwd",4.95038768907278,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","MALATE-DEHASE",64.674,2,9.90077537814556,9.90077537814556,0.0018145043508062,0.238325537615054
"FUM","fwd",92.3349582664103,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","G6903-MONOMER",7.907,1,92.3349582664103,92.3349582664103,2.37871866747558e-05,0.238325537615054
"FUM","bwd",4.47600024219245,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","G6903-MONOMER",7.907,1,4.47600024219245,4.47600024219245,0.000490703478562156,0.238325537615054
"KARA1","bwd",3.04606993655578,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","CPLX0-7643",216.276,4,12.1842797462231,12.1842797462231,0.0049306703324248,0.238325537615054
"KARA2","fwd",1.0122252549118,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","CPLX0-7643",216.276,4,4.0489010196472,4.0489010196472,0.0148377711322519,0.238325537615054
"ACCOAC","fwd",3.95537952771034,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ACETYL-COA-CARBOXYLMULTI-CPLX",269.144,8,31.6430362216827,31.6430362216827,0.00236267536713158,0.238325537615054
"KAS14","fwd",2.63598512051591,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","FABB-CPLX",85.226,2,5.27197024103182,5.27197024103182,0.00449052020526115,0.238325537615054
"ARGSS","fwd",1.24409643167478,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","CPLX0-238",199.592,4,4.97638572669912,4.97638572669912,0.0111410620613201,0.238325537615054
"AGPR","bwd",12.4035235393376,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","N-ACETYLGLUTPREDUCT-MONOMER",35.952,1,12.4035235393376,12.4035235393376,0.000805147556256421,0.238325537615054
"ICL","fwd",4.84920199788896,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ISOCIT-LYASE",190.088,4,19.3968079915558,19.3968079915558,0.0027222119353457,0.238325537615054
"GLYCL","fwd",8.97003071010088,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","GCVMULTI-CPLX",364.086,6,53.8201842606053,53.8201842606053,0.00187912771740597,0.238325537615054
"XYLI1","fwd",3.27099976956117,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","XYLISOM-CPLX",99.484,2,6.54199953912234,6.54199953912234,0.00422415872688243,0.238325537615054
"XYLI1","bwd",3.27099976956117,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","XYLISOM-CPLX",99.484,2,6.54199953912234,6.54199953912234,0.00422415872688243,0.238325537615054
"PPC","fwd",61.3139604630342,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","PEPCARBOX-CPLX",396.248,4,245.255841852137,245.255841852137,0.000448792118702105,0.238325537615054
"G3PT","fwd",6.87960846149541,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","G7187-MONOMER",23.007,1,6.87960846149541,6.87960846149541,0.000928953060207175,0.238325537615054
"SADT2","fwd",4.71147363729629,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","SULFATE-ADENYLYLTRANS-CPLX",350.984,8,37.6917890983703,37.6917890983703,0.00258665236879857,0.238325537615054
"GHMT2r","fwd",3.84285158446739,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","GLYOHMETRANS-CPLX",90.634,2,7.68570316893478,7.68570316893478,0.00327570692722973,0.238325537615054
"DHORD2","fwd",26.7445205439194,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","DIHYDROOROTOX-MONOMER",36.775,1,26.7445205439194,26.7445205439194,0.00038195778312804,0.238325537615054
"SDPDS","fwd",47.7549170284787,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","CPLX0-3161",82.538,2,95.5098340569574,95.5098340569574,0.000240050906261124,0.238325537615054
"UMPK","fwd",16.583270877796,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","UMPKI-CPLX",155.82,6,99.499625266776,99.499625266776,0.000435010013528022,0.238325537615054
"UMPK","bwd",4.60132075952737,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","UMPKI-CPLX",155.82,6,27.6079245571642,27.6079245571642,0.0015677865695305,0.238325537615054
"CTPS2","fwd",4.25878177372141,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","CTPSYN-CPLX",241.496,4,17.0351270948856,17.0351270948856,0.00393787623940663,0.238325537615054
"NDPK7","fwd",4.98181882630153,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ADENYL-KIN-MONOMER",23.586,1,4.98181882630153,4.98181882630153,0.0013151154016435,0.238325537615054
"NDPK7","bwd",4.99780049239237,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ADENYL-KIN-MONOMER",23.586,1,4.99780049239237,4.99780049239237,0.00131091000463896,0.238325537615054
"TRPS3","fwd",4.11282222064388,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","TRYPSYN-APROTEIN",28.724,1,4.11282222064388,4.11282222064388,0.00194000335070154,0.238325537615054
"ADK1","fwd",35.460023618225,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ADENYL-KIN-MONOMER",23.586,1,35.460023618225,35.460023618225,0.000184762050279611,0.238325537615054
"ADK1","bwd",4.20068518837763,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ADENYL-KIN-MONOMER",23.586,1,4.20068518837763,4.20068518837763,0.00155966619083803,0.238325537615054
"NDPK2","fwd",19.1075559853829,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ADENYL-KIN-MONOMER",23.586,1,19.1075559853829,19.1075559853829,0.000342883552018826,0.238325537615054
"NDPK2","bwd",6.49011258781044,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ADENYL-KIN-MONOMER",23.586,1,6.49011258781044,6.49011258781044,0.00100948428521438,0.238325537615054
"NDPK4","fwd",6.29197607194518,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ADENYL-KIN-MONOMER",23.586,1,6.29197607194518,6.29197607194518,0.00104127329661653,0.238325537615054
"NDPK4","bwd",4.99780049239237,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ADENYL-KIN-MONOMER",23.586,1,4.99780049239237,4.99780049239237,0.00131091000463896,0.238325537615054
"ACODA","fwd",10.9791125730085,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","ACETYLORNDEACET-CPLX",84.694,2,21.958225146017,21.958225146017,0.00107140312819766,0.238325537615054
"ADSS","fwd",1.84018956986626,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ADENYLOSUCCINATE-SYN-DIMER",94.69,2,3.68037913973252,3.68037913973252,0.00714675765162863,0.238325537615054
"ASNS2","fwd",8.12236657624855,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","ASNSYNA-CPLX",73.302,2,16.2447331524971,16.2447331524971,0.00125343189546556,0.238325537615054
