"reaction_id","direction","value","par_type","unit","condition","notes","saturation","model_type","directional_reaction_id","enzyme","MW","num_pp_subunits","kcat_times_pp_num","EC_kcat_value","ec_cost","enzyme_pool_bound_g_gDw"
"PPCK","fw",35.587293063962,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","PPCK_fw","PEPCARBOXYKIN-MONOMER",59.643,1,35.587293063962,35.587293063962,0.000465545383578987,0.332285064086577
"ME1","fw",82.029514720553,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ME1_fw","MALIC-NAD-CPLX",252.788,4,328.118058882212,328.118058882212,0.000214004950316057,0.332285064086577
"ALATA_L","fw",32.7122406320375,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ALATA_L_fw","CPLX0-7888",91.034,2,65.424481264075,65.424481264075,0.000386510091232586,0.332285064086577
"ALATA_L","bw",12.1988681743575,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ALATA_L_bw","CPLX0-7888",91.034,2,24.397736348715,24.397736348715,0.00103645772135553,0.332285064086577
"XYLK","fw",9.379294311,"kcat","s-1","manual_curation","Heckmann_et_al_2020: kcat_in_vitro_per_s_ensemble_model",1,"glucose_batch","XYLK_fw","CPLX0-7466",105.236,2,18.758588622,18.758588622,0.00155833803977868,0.332285064086577
"RBK","fw",2.89024628988296,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","RBK_fw","CPLX0-7647",64.58,2,5.78049257976592,5.78049257976592,0.00310334952278674,0.332285064086577
"GLYK","fw",14.28,"kcat","s-1","manual_curation","Heckmann_et_al_2020: kcat_in_vitro_per_s_ensemble_model",1,"glucose_batch","GLYK_fw","GLYCEROL-KIN-CPLX",224.924,4,57.12,57.12,0.00109381808278867,0.332285064086577
"ASPTA","bw",21.5778026792875,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","ASPTA_bw","ASPAMINOTRANS-DIMER",87.146,2,43.155605358575,43.155605358575,0.00056092880683951,0.332285064086577
"FBP","fw",104.90782631666,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","FBP_fw","F16B-CPLX",147.336,4,419.63130526664,419.63130526664,9.75300606818675e-05,0.332285064086577
"PYK","fw",60.9955643127855,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","PYK_fw","PKI-COMPLEX",202.916,4,243.982257251142,243.982257251142,0.000231023174351305,0.332285064086577
"GTHOr","fw",3.41978411729473,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","GTHOr_fw","GLUTATHIONE-REDUCT-NADPH-CPLX",97.544,2,6.83956823458946,6.83956823458946,0.0039615886012404,0.332285064086577
"GTHOr","bw",2.28720726634714,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","GTHOr_bw","GLUTATHIONE-REDUCT-NADPH-CPLX",97.544,2,4.57441453269428,4.57441453269428,0.00592328381302089,0.332285064086577
"ILETA","bw",3.5290306367644,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","ILETA_bw","BRANCHED-CHAINAMINOTRANSFER-CPLX",204.564,6,21.1741838205864,21.1741838205864,0.0026836138674723,0.332285064086577
"DHORD5","fw",0.00266836643542162,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","DHORD5_fw","DIHYDROOROTOX-MONOMER",36.775,1,0.00266836643542162,0.00266836643542162,3.82828896442917,0.332285064086577
"VALTA","bw",6.30167006226882,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","VALTA_bw","BRANCHED-CHAINAMINOTRANSFER-CPLX",204.564,6,37.8100203736129,37.8100203736129,0.00150286439340269,0.332285064086577
"IPPMIb","fw",3.65918729423289,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","IPPMIb_fw","3-ISOPROPYLMALISOM-CPLX",72.369,2,7.31837458846578,7.31837458846578,0.00274685311020876,0.332285064086577
"IPPMIb","bw",8.52315462273109,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","IPPMIb_bw","3-ISOPROPYLMALISOM-CPLX",72.369,2,17.0463092454622,17.0463092454622,0.00117928753435888,0.332285064086577
"ORPT","bw",27.6977892323171,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","ORPT_bw","OROPRIBTRANS-CPLX",47.134,2,55.3955784646342,55.3955784646342,0.000236350592243323,0.332285064086577
"ACHBS","fw",7.39598742300197,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ACHBS_fw","ACETOLACTSYNIII-CPLX",161.922,4,29.5839496920079,29.5839496920079,0.00152036268995834,0.332285064086577
"DHAD2","fw",6.50987261611766,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","DHAD2_fw","DIHYDROXYACIDDEHYDRAT-CPLX",131.064,2,13.0197452322353,13.0197452322353,0.00279626567319675,0.332285064086577
"ACLS","fw",29.7963679724139,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ACLS_fw","ACETOLACTSYNIII-CPLX",161.922,4,119.185471889656,119.185471889656,0.000377381006428159,0.332285064086577
"TRPS2","fw",4.79727888903391,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","TRPS2_fw","CPLX0-2401",85.966,2,9.59455777806782,9.59455777806782,0.00248885305574275,0.332285064086577
"PSCVT","fw",6.89192218896781,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","PSCVT_fw","AROA-MONOMER",46.096,1,6.89192218896781,6.89192218896781,0.0018578916147575,0.332285064086577
"PFL","fw",12.6110345608035,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","PFL_fw","PYRUVFORMLY-CPLX",198.918,3,37.8331036824105,37.8331036824105,0.00146049344679298,0.332285064086577
"ANS","fw",3.65552348894893,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ANS_fw","ANTHRANSYN-CPLX",228.73,4,14.6220939557957,14.6220939557957,0.00434521288833105,0.332285064086577
"FRD2","fw",7.85393704675326,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","FRD2_fw","FUMARATE-REDUCTASE",121.217,4,31.415748187013,31.415748187013,0.00107179968111688,0.332285064086577
"ANPRT","fw",2.19356022173354,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","ANPRT_fw","ANTHRANSYNCOMPII-MONOMER",56.87,1,2.19356022173354,2.19356022173354,0.00720163598232005,0.332285064086577
"CHORM","fw",13.0116763768099,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CHORM_fw","CHORISMUTPREPHENDEHYDROG-CPLX",84.084,2,26.0233527536198,26.0233527536198,0.000897527189820604,0.332285064086577
"PTAr","fw",46.4459265343548,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","PTAr_fw","PHOSACETYLTRANS-CPLX",463.032,6,278.675559206129,278.675559206129,0.00046154029569871,0.332285064086577
"PTAr","bw",27.5564088075945,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","PTAr_bw","PHOSACETYLTRANS-CPLX",463.032,6,165.338452845567,165.338452845567,0.000777919460273022,0.332285064086577
"CHORS","fw",30.4540375934807,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","CHORS_fw","AROC-CPLX",156.548,4,121.816150373923,121.816150373923,0.000356976931400916,0.332285064086577
"IGPS","fw",3.13419295866496,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","IGPS_fw","PRAI-IGPS",49.492,1,3.13419295866496,3.13419295866496,0.00438638525422308,0.332285064086577
"ACKr","fw",57.6480788258165,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ACKr_fw","ACETATEKINA-MONOMER",43.29,1,57.6480788258165,57.6480788258165,0.000208593247943847,0.332285064086577
"ACKr","bw",139.780070170674,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ACKr_bw","ACETATEKINA-MONOMER",43.29,1,139.780070170674,139.780070170674,8.60280008825096e-05,0.332285064086577
"LEUTAi","fw",16.0854015399696,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","LEUTAi_fw","TYRB-DIMER",87.076,2,32.1708030799392,32.1708030799392,0.000751854957356056,0.332285064086577
"ENO","fw",38.7405247124271,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","ENO_fw","ENOLASE-CPLX",91.31,2,77.4810494248542,77.4810494248542,0.00032735603192221,0.332285064086577
"FBA","fw",63.4163125546283,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","FBA_fw","FRUCBISALD-CLASSII",78.294,2,126.832625109257,126.832625109257,0.000171472705186058,0.332285064086577
"FBA","bw",42.1200361300216,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","FBA_bw","FRUCBISALD-CLASSII",78.294,2,84.2400722600432,84.2400722600432,0.000258170876993051,0.332285064086577
"HCO3E","fw",62.0239021864702,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","HCO3E_fw","CPLX0-7521",100.388,4,248.095608745881,248.095608745881,0.00011239842452882,0.332285064086577
"HCO3E","bw",6.09910261546728,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","HCO3E_bw","CPLX0-7521",100.388,4,24.3964104618691,24.3964104618691,0.00114301878955266,0.332285064086577
"IMPC","bw",7.83467699709436,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","IMPC_bw","AICARTRANSIMPCYCLO-CPLX",57.329,1,7.83467699709436,7.83467699709436,0.00203259460831994,0.332285064086577
"IMPD","fw",1.27458775649208,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","IMPD_fw","IMP-DEHYDROG-CPLX",208.088,4,5.09835102596832,5.09835102596832,0.0113374347760302,0.332285064086577
"PPS","fw",41.2332643931583,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","PPS_fw","PEPSYNTH-CPLX",174.87,2,82.4665287863166,82.4665287863166,0.00058902685386292,0.332285064086577
"PGI","fw",105.334640283576,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","PGI_fw","CPLX0-7877",123.06,2,210.669280567152,210.669280567152,0.000162260644937444,0.332285064086577
"PGK","bw",78.3161052746326,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","PGK_bw","PGK",41.118,1,78.3161052746326,78.3161052746326,0.000145840585746879,0.332285064086577
"PGL","fw",588.747629875143,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","PGL_fw","6PGLUCONOLACT-MONOMER",36.308,1,588.747629875143,588.747629875143,1.71305242582368e-05,0.332285064086577
"RPE","fw",70.0209263106985,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","RPE_fw","RIBULP3EPIM-MONOMER",24.554,1,70.0209263106985,70.0209263106985,9.74073882612067e-05,0.332285064086577
"RPE","bw",4.62928619064774,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","RPE_bw","RIBULP3EPIM-MONOMER",24.554,1,4.62928619064774,4.62928619064774,0.00147334929720584,0.332285064086577
"DHQTi","fw",35.4331476327515,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","DHQTi_fw","AROD-CPLX",54.934,2,70.866295265503,70.866295265503,0.00021532724953766,0.332285064086577
"IPMD","fw",6.37229853315127,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","IPMD_fw","3-ISOPROPYLMALDEHYDROG-CPLX",79.034,2,12.7445970663025,12.7445970663025,0.00172260360799764,0.332285064086577
"AIRC3","bw",11.3400452404697,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","AIRC3_bw","PURE-CPLX",142.24,8,90.7203619237576,90.7203619237576,0.000435526383198479,0.332285064086577
"TALA","fw",39.8354070365591,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","TALA_fw","TRANSALDOLB-CPLX",70.438,2,79.6708140731182,79.6708140731182,0.000245586935928058,0.332285064086577
"TALA","bw",3.30274872857859,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","TALA_bw","TRANSALDOLB-CPLX",70.438,2,6.60549745715718,6.60549745715718,0.0029620950182807,0.332285064086577
"ADSL2r","fw",8.20840409553331,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","ADSL2r_fw","CPLX0-7959",206.172,4,32.8336163821332,32.8336163821332,0.00174424892261226,0.332285064086577
"TKT1","fw",66.2379265801991,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","TKT1_fw","TRANSKETOI-CPLX",144.424,2,132.475853160398,132.475853160398,0.000302830869329856,0.332285064086577
"TKT1","bw",6.07989957898194,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","TKT1_bw","TRANSKETOI-CPLX",144.424,2,12.1597991579639,12.1597991579639,0.00329921384856947,0.332285064086577
"RNDR1","fw",12.9,"kcat","s-1","manual_curation","max entry for escherichia coli in Brenda (from GECKO3 db)",1,"glucose_batch","RNDR1_fw","RIBONUCLEOSIDE-DIP-REDUCTI-CPLX",258.584,4,51.6,51.6,0.00139203273040482,0.332285064086577
"ALCD2x","fw",2.79577791442476,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ALCD2x_fw","ADHE-CPLX",3845.08,40,111.83111657699,111.83111657699,0.00955081027955629,0.332285064086577
"ALCD2x","bw",3.61105120912694,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ALCD2x_bw","ADHE-CPLX",3845.08,40,144.442048365078,144.442048365078,0.0073945072772591,0.332285064086577
"RNDR3","fw",12.9,"kcat","s-1","manual_curation","max entry for escherichia coli in Brenda (from GECKO3 db)",1,"glucose_batch","RNDR3_fw","RIBONUCLEOSIDE-DIP-REDUCTI-CPLX",258.584,4,51.6,51.6,0.00139203273040482,0.332285064086577
"RNDR4","fw",12.9,"kcat","s-1","manual_curation","max entry for escherichia coli in Brenda (from GECKO3 db)",1,"glucose_batch","RNDR4_fw","RIBONUCLEOSIDE-DIP-REDUCTI-CPLX",258.584,4,51.6,51.6,0.00139203273040482,0.332285064086577
"TMDS","fw",2.36867469894359,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","TMDS_fw","THYMIDYLATESYN-CPLX",60.96,2,4.73734939788718,4.73734939788718,0.00357443201062718,0.332285064086577
"DHAD1","fw",19.5900340997471,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","DHAD1_fw","DIHYDROXYACIDDEHYDRAT-CPLX",131.064,2,39.1800681994942,39.1800681994942,0.000929213968727514,0.332285064086577
"IPPMIa","fw",3.33618686018532,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","IPPMIa_fw","3-ISOPROPYLMALISOM-CPLX",72.369,2,6.67237372037064,6.67237372037064,0.00301279587182406,0.332285064086577
"IPPMIa","bw",8.23008259668299,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","IPPMIa_bw","3-ISOPROPYLMALISOM-CPLX",72.369,2,16.460165193366,16.460165193366,0.0012212817893287,0.332285064086577
"MDH","fw",95.5484573348072,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","MDH_fw","MALATE-DEHASE",64.674,2,191.096914669614,191.096914669614,9.40098903797558e-05,0.332285064086577
"MDH","bw",4.95038768907278,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","MDH_bw","MALATE-DEHASE",64.674,2,9.90077537814556,9.90077537814556,0.0018145043508062,0.332285064086577
"FUM","fw",92.3349582664103,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","FUM_fw","FUMARASE-A",120.598,2,184.669916532821,184.669916532821,0.000181401741406488,0.332285064086577
"FUM","bw",4.47600024219245,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","FUM_bw","FUMARASE-A",120.598,2,8.9520004843849,8.9520004843849,0.00374211825645877,0.332285064086577
"KARA1","bw",3.04606993655578,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","KARA1_bw","CPLX0-7643",216.276,4,12.1842797462231,12.1842797462231,0.0049306703324248,0.332285064086577
"KARA2","fw",1.0122252549118,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","KARA2_fw","CPLX0-7643",216.276,4,4.0489010196472,4.0489010196472,0.0148377711322519,0.332285064086577
"ACCOAC","fw",3.95537952771034,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ACCOAC_fw","ACETYL-COA-CARBOXYLMULTI-CPLX",269.144,8,31.6430362216827,31.6430362216827,0.00236267536713158,0.332285064086577
"KAS14","fw",2.63598512051591,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","KAS14_fw","FABB-CPLX",85.226,2,5.27197024103182,5.27197024103182,0.00449052020526115,0.332285064086577
"ARGSS","fw",1.24409643167478,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","ARGSS_fw","CPLX0-238",199.592,4,4.97638572669912,4.97638572669912,0.0111410620613201,0.332285064086577
"AGPR","bw",12.4035235393376,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","AGPR_bw","N-ACETYLGLUTPREDUCT-MONOMER",35.952,1,12.4035235393376,12.4035235393376,0.000805147556256421,0.332285064086577
"ICL","fw",4.84920199788896,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ICL_fw","ISOCIT-LYASE",190.088,4,19.3968079915558,19.3968079915558,0.0027222119353457,0.332285064086577
"GLYCL","fw",8.97003071010088,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","GLYCL_fw","GCVMULTI-CPLX",364.086,6,53.8201842606053,53.8201842606053,0.00187912771740597,0.332285064086577
"XYLI1","fw",3.27099976956117,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","XYLI1_fw","XYLISOM-CPLX",99.484,2,6.54199953912234,6.54199953912234,0.00422415872688243,0.332285064086577
"XYLI1","bw",3.27099976956117,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","XYLI1_bw","XYLISOM-CPLX",99.484,2,6.54199953912234,6.54199953912234,0.00422415872688243,0.332285064086577
"PPC","fw",61.3139604630342,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","PPC_fw","PEPCARBOX-CPLX",396.248,4,245.255841852137,245.255841852137,0.000448792118702105,0.332285064086577
"G3PT","fw",6.87960846149541,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","G3PT_fw","G7187-MONOMER",23.007,1,6.87960846149541,6.87960846149541,0.000928953060207175,0.332285064086577
"SADT2","fw",4.71147363729629,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","SADT2_fw","SULFATE-ADENYLYLTRANS-CPLX",350.984,8,37.6917890983703,37.6917890983703,0.00258665236879857,0.332285064086577
"GHMT2r","fw",3.84285158446739,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","GHMT2r_fw","GLYOHMETRANS-CPLX",90.634,2,7.68570316893478,7.68570316893478,0.00327570692722973,0.332285064086577
"DHORD2","fw",26.7445205439194,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","DHORD2_fw","DIHYDROOROTOX-MONOMER",36.775,1,26.7445205439194,26.7445205439194,0.00038195778312804,0.332285064086577
"SDPDS","fw",47.7549170284787,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","SDPDS_fw","CPLX0-3161",82.538,2,95.5098340569574,95.5098340569574,0.000240050906261124,0.332285064086577
"UMPK","fw",16.583270877796,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","UMPK_fw","UMPKI-CPLX",155.82,6,99.499625266776,99.499625266776,0.000435010013528022,0.332285064086577
"UMPK","bw",4.60132075952737,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","UMPK_bw","UMPKI-CPLX",155.82,6,27.6079245571642,27.6079245571642,0.0015677865695305,0.332285064086577
"CTPS2","fw",4.25878177372141,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","CTPS2_fw","CTPSYN-CPLX",241.496,4,17.0351270948856,17.0351270948856,0.00393787623940663,0.332285064086577
"NDPK7","fw",4.98181882630153,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","NDPK7_fw","NUCLEOSIDE-DIP-KIN-CPLX",61.852,4,19.9272753052061,19.9272753052061,0.000862190683270304,0.332285064086577
"NDPK7","bw",4.99780049239237,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","NDPK7_bw","NUCLEOSIDE-DIP-KIN-CPLX",61.852,4,19.9912019695695,19.9912019695695,0.000859433621713398,0.332285064086577
"TRPS3","fw",4.11282222064388,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","TRPS3_fw","TRYPSYN-APROTEIN",28.724,1,4.11282222064388,4.11282222064388,0.00194000335070154,0.332285064086577
"ADK1","fw",35.460023618225,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ADK1_fw","ADENYL-KIN-MONOMER",23.586,1,35.460023618225,35.460023618225,0.000184762050279611,0.332285064086577
"ADK1","bw",4.20068518837763,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ADK1_bw","ADENYL-KIN-MONOMER",23.586,1,4.20068518837763,4.20068518837763,0.00155966619083803,0.332285064086577
